id колледжа;Федеральный округ;Регион;Город;Название ВУЗа;Тип колледжа;Колледж при вузе;Направление колледжа;Официальный сайт;Адрес головного корпуса;Телефон приемной комиссии;Срок действия аккредитации;Достижения колледжа, факты и цифры;Общежитие;Стоимость общежития (минимальная в месяц);Государственная академическая стипендия (мес.);Стипендия по социальным льготам;Ссылка на ютуб-ролик о колледже ;WORLDSKILLS HI-TECH 2017;DIGITALSKILLS 2017;EUROSKILLS 2018;ТОП-100;по порядку;Синонимы
770096;Центральный ФО;г. Москва;г. Москва;Колледж Российский экономический университет им. Г.В. Плеханова (РЭУ);Государственный;Да;Гуманитарные науки ;www.mpek-rea.ru;г. Москва, Большой Трехгорный пер., д. 11;+7 (495) 605-62-32;с 30.12.2015 по 22.05.2021;Московский промышленно-экономический колледж — одно из известных и престижных учреждений среднего специального образования г. Москвы и Российской Федерации в целом. Обучение направлено на развитие у студентов способности синтезировать все знания, навыки, информацию, собственное поведение и отношение к происходящему в единый эффективный порядок действий. Обучение основано на текущих экономических реалиях и международных управленческих практиках.;Нет ;;539;809;нет;;;да;;89;"мпэк рэу; мпэк плеханова;"
770097;Центральный ФО;г. Москва;г. Москва;Колледж Российского государственного социального университета (РГСУ);Государственный;Да;Гуманитарные науки ;www.college.rgsu.net;г. Москва, ул. Лосиноостровская, д. 40, к.2;+7 (495) 255-67-77;с 24.06.2016 до 29.12.2018;Поступив в Колледж РГСУ вы получите: превосходных преподавателей, которые являются экспертами в своей области и самое главное, могут передать эти знания вам, практический опыт работы в некоторых крупнейших компаниях и организациях страны, академическую мобильность и возможность участия в международных проектах и программах обучения. Студенческая жизнь в колледже активна и разнообразна. В дополнение к внутренним спортивным и творческим секциям, студенты имеют возможность посещать мастер-классы известных людей – гостей колледжа. Колледж также предлагает участие в программе, NCC Education, которая позволяет студентам поступать в ведущие университеты в Ирландии, Великобритании, США, Канаде и Австралии без вступительных экзаменов.;Есть;3500;487;730;https://youtu.be/39hlN2F5PZA;;;;;48;"Колледж при РГСУ; колледж при соц университете Москва;"
770101;Центральный ФО;г. Москва;г. Москва;Колледж современного управления;Негосударственный;Нет;Гуманитарные науки ;www.ноу-ксу.рф;г. Москва, Волгоградский пр-кт, д. 42, корп. 7;+7 (495) 542-68-64;c 20.04.2016 до 20.04.2022;В Колледже Современного Управления производится набор юношей и девушек, окончивших 9 и 11 класс, на очное и заочное обучение. Учащимся колледжа предоставляется отсрочка от службы в ВС РФ. Выпускники колледжа получают диплом государственного образца. Обучение в колледже ведется на платной основе.;Нет ;;Нет;Нет;https://youtu.be/ojBQvNzbPHA;;;;;54;"Современный Колледж управления Москва;"
770102;Центральный ФО;г. Москва;г. Москва;Колледж современных технологий им. М.Ф. Панова;Государственный;Нет;Технологии и технические науки ;www.kst.mskobr.ru;г. Москва, Хибинский пр., д. 10;+7 (499) 188-08-83 ;с 25.05.2015 по 25.05.2021;Вуз имеет партнерские связи с множеством университетов России, а также с большим количеством компаний. Хорошее оснащение аудиторий, высокий уровень преподавания становятся площадкой для взращивания высококлассных кадров.;Нет ;;568;853;https://youtu.be/s7Xdkw_Tqp4;да;да;;;94;"кст панова;"
770104;Центральный ФО;г. Москва;г. Москва;Колледж сферы услуг №10 (г. Москва);Государственный;Нет;Сфера услуг, сервис;www.ksu10.mskobr.ru;г. Москва, Дмитровское ш., д.11А;+7 (495) 276-04-29;с 22.11.2017 по 22.11.2023;В колледже реализуется несколько уровней образования: начальное общее и основное общее, профессиональное и дополнительное образование. Есть и специальные профессиональные программы для школьников. В колледже оборудована доступная среда для лиц с ОВЗ. Также для всех выпускников работает служба содействия трудоустройству. В каждом отделении колледжа есть оборудованный спортивный зал для того, чтобы студенты могли заниматься спортом и вести здоровый образ жизни. Кроме этого работают секции по атлетической гимнастике, волейболу, плаванию, настольному теннису.;Нет ;;487;730;https://youtu.be/yfQUowgbhq8;;;;;62;"ксу 10; "
770105;Центральный ФО;г. Москва;г. Москва;Колледж сферы услуг №3 (г. Москва);Государственный;Нет;Сфера услуг, сервис;www.college3.mskobr.ru;г. Москва, ул. Большая Калитниковская, д. 36, стр. 1;+7 (495) 678-98-33;с 12.04.2018 по 12.04.2024;Деятельность всей образовательной системы колледжа направлена на развитие студенческих инициатив в различных сферах жизни учебного заведения. преподаватели колледжа направляют свой потенциал на поддержание научного творчества, повышение образовательного уровня и формирование традиций и воспитание чувства гордости за звание студента. Для этого в колледже следят за качеством учебной и профессиональной деятельности, организацией и проведением досуга, в том числе, выездных мероприятий. Колледж также поощряет участие студентов в олимпиадах и конкурсах. Каждый год в портфолио достижений и побед Колледжа можно смело включать более 25 наград в окружных, городских и всероссийских фестивалях, конкурсах, олимпиадах и соревнованиях.;Нет ;;487;730;https://youtu.be/NY8MBe2BB_g;;;;;39;"ксу 3;"
770106;Центральный ФО;г. Москва;г. Москва;Колледж сферы услуг №32 (г. Москва);Государственный;Нет;Сфера услуг, сервис;www.spo-32.mskobr.ru;г. Москва, ул. Орджоникидзе, д. 15;+7 (495) 952-47-85;с 22.11.2017 по 22.11.2023;Сформированная образовательная среда колледжа является основой культуры взаимодействия всех участников образовательного процесса. Поэтому важно, чтобы в Колледж сферы услуг №32 всегда поддерживалась атмосфера доверия, взаимоуважения, а созданные условия способствовали профессиональному становлению, самореализации, развитию духовно-нравственных качеств и формированию гражданской позиции.;Нет ;;487;730;https://youtu.be/eh8YNhwEBYQ;;;;;26;"ксу 32;"
770110;Центральный ФО;г. Москва;г. Москва;Колледж управления и производства (г. Москва);Негосударственный;Нет;Широкий профиль ;www.cmp2014.ru;г. Москва, ул. Нижегородская, д. 32, стр. 16;+7 (495) 120-29-69;с 15.05.2018 до 15.05.2024;Колледж проводит активную работу по созданию «портфеля заявок» от работодателей-социальных партнеров. Также проводится обучение студентов технологиям самостоятельного поиска работы информации о рабочих местах, вакансиях. Колледж учувствует в построении долгосрочных жизненных планов, формирование установок и мотивации к последующему трудоустройству по выбранной обучающимся профессии.;Нет ;;Нет;Нет;https://youtu.be/5ddbzHItCwI;;;;;52;"Московский управленческий колледж;"
770119;Центральный ФО;г. Москва;г. Москва;"Колледж физической культуры и спорта ""Спарта""";Государственный;Нет;Спорт и физическая культура;www.спарта-кфкс.рф;г. Москва, ул. Маршала Тимошенко, д. 36, корп. 2;+7 (499) 149-28-94;c 11.10.2017 по 30.05.2020;ГБПОУ «КФКС «Спарта» Москомспорта является единственным в своем роде учреждением СПО, где взаимосвязано осуществляется несколько образовательных программ для детей от 7 до 18 лет. Создана система непрерывного образования, в которой первоклассник, ориентированный на занятия греко-римской борьбой, становится через 13 лет педагогом по физической культуре и спорту. Выпускник «Спарты» - это не только спортсмен высокого класса, но и дипломированный специалист в области физической культуры и спорта, что дает ему возможность успешной социальной адаптации и дальнейшего личностного развития.;Нет ;;487;730;;;;;;28;"Физкультурный спарта; колледж спарта;"
770123;Центральный ФО;г. Москва;г. Москва;Колледж Финансового Университета при Правительстве РФ;Государственный;Да;Гуманитарные науки ;www.old.fa.ru/dep/mfc/Pages/default.aspx;г. Москва, ул. Кусковская, д. 45;+7 (495) 309-44-51;от 29.06.2015 до 16.02.2021;"Московский финансовый колледж (МФК) был образован в мае 1941 года при Министерстве финансов СССР. Став студентами нашего колледжа, вы будете участвовать в конкурсах, КВН, международных конференциях и спортивных соревнованиях. Колледж получает самые лестные отзывы от руководителей государственных и коммерческих структур по качеству подготовки специалистов и уровню учебной и воспитательной работы. Выпускники колледжа продолжают обучение в сокращенные сроки в ФГОБУ ВПО ""Финансовый университет при Правительстве Российской Федерации"" и других ведущих экономических ВУЗах.​ ​";Нет ;;487;730;;;;;;77;"колледж финашка; московский финансовый колледж;"
770124;Центральный ФО;г. Москва;г. Москва;Колледж экономики, страхового дела и информационных технологий;Государственный;Нет;Широкий профиль ;www.college-edu.ru;г. Москва, ул. Нежинская, д. 9/1;+7 (495) 657-91-45;c 11.05.2016 по 21.06.2019;"Миссия колледжа - обучать студентов с использованием современных образовательных и информационных технологий и опорой на лучшие достижения отечественного и мирового опыта образования. Здесь вы можете получить престижную специальность и высокооплачиваемую работу в будущем, участвовать в активной студенческой жизни: экскурсии, дни карьеры, стажировки, спорт; а также продолжить обучение по индивидуальной траектории в вузе. В учебном процессе Колледжа активно применяются современные образовательные и информационные технологии: электронные учебники, мультимедийные курсы и проектная деятельность студентов. Также в 2010 году Колледж получил диплом престижного конкурса «100 лучших ссузов России». Таким образом, поступление в Колледж экономики, страхового дела и информационных технологий - это отличная возможность получить качественное образование и после выдачи диплома быть востребованным специалистом, мастером своего дела.";Нет ;;509;839;;;;;;33;"колледж на нежинской; кэси москва;"
770137;Центральный ФО;г. Москва;г. Москва;Медицинский колледж №1 (г. Москва);Государственный;Нет;Медицина и здравоохранение ;www.medcollege.ru;г. Москва, Чуксин тупик, д.6;+7 (495) 952-33-05;с 21.12.2015 по 16.02.2021;История медицинского колледжа №1 – это отражение истории нашей страны. В настоящее время колледж осуществляет обучение студентов по специальностям, позволяющим им быть востребованными в любом медицинском учреждении. Колледж обладает всем необходимым оборудованием для качественного образования и комфорта студентов. Выбирая медицинский колледж №1, вы можете на 100 процентов быть уверенными в своем светлом и перспективным будущем в сфере медицины.;Нет ;;568;853;https://youtu.be/lHKVWoxpPEg;;;;;14;"чуксин тупик мед;"
770139;Центральный ФО;г. Москва;г. Москва;Медицинский колледж №2 (г. Москва);Государственный;Нет;Медицина и здравоохранение ;www.мк2.рф;г. Москва, ул. Ярославская, д. 17, корп. 2;+7 (495) 686-61-50;с 31.03.2015 по 31.03.2023;Уже более 30 лет порог колледжа переступают те, для кого слова «милосердие» и «профессионализм» не пустой звук! За 30 лет выпущено более 7 тысяч специалистов: фельдшеров и медицинских сестер. По оценкам главных врачей и руководителей сестринских служб медицинских организаций государственной системы здравоохранения города Москвы выпускники колледжа не только владеют современными технологиями, но и отличаются высочайшей ответственностью, гуманностью, преданностью медицине и своим пациентам.;Нет ;;487;730;;;;;;15;"мк 2 москва; "
770142;Центральный ФО;г. Москва;г. Москва;Медицинский колледж №5 (г. Москва);Государственный;Нет;Медицина и здравоохранение ;www.mk-5.ru;г. Москва, ул. Нахимовский просп., д. 4А;+7 (906) 083-92-72;с 20.03.2012 по 12.02.2024;Ежегодно более 600 выпускников колледжа пополняют ряды медицинского братства и продолжают работать в медицинских организациях государственной системы здравоохранения Москвы и Российской Федерации. Миссия колледжа - подготовка квалифицированных, конкурентоспособных специалистов. В стенах образовательного учреждения вас обучат всему необходимому для того, чтобы вы стали настоящим профессионалом в своем деле и были востребованы у работодателей. Мотивирующая образовательная среда, созданная в колледже, способствует успешной подготовке студентов. Здание колледжа оснащено лучшим оборудованием для комфортного и плодотворного обучения студентов.;Нет ;;487;730;;;;;;16;"мк 5 москва;"
770143;Центральный ФО;г. Москва;г. Москва;Медицинский колледж №6 (г. Москва);Государственный;Нет;Медицина и здравоохранение ;www.mmk6.ru;г. Москва, ул. Таймырская, д. 4;+7 (495) 474-74-39;с 06.03.2017 по 06.03.2023;Поступая в колледж, вы обретаете возможность получить качественное медицинское образование. Преимущества колледжа: индивидуальный подход к образовательному процессу, высокий уровень профессионализма преподавателей, возможность продолжить обучения в РГМУ и постдипломной специализации на отделении повышения квалификации колледжа, а также забота о досуге и трудоустройстве студентов.;Нет ;;568;853;;;;;ДА;17;"мк 6 москва;"
770144;Центральный ФО;г. Москва;г. Москва;Медицинский колледж №7 (г. Москва);Государственный;Нет;Медицина и здравоохранение ;www.medcollege7.ru;г. Москва, ул. Николоямская, д.33, стр. 1;+7 (495) 915-27-83;с 25.08.2017 по 31.10.2018;Медицинский колледж № 7 - один из крупнейших колледжей Департамента здравоохранения города Москвы. Цель образовательного учреждения - дать студентам полноценное, качественное образование, раскрыть их творческие таланты. Для этого в стенах колледжа собраны квалифицированные педагоги, постоянно повышающие свой профессиональный уровень, любящие свое дело и студентов. У учащихся, помимо учебных занятий, есть возможность проводить свой досуг, занимаясь любимыми видами спорта. Так, студенты и преподаватели колледжа не раз занимали призовые места в различных спортивных и профессиональных конкурсах. Медицинский колледж № 7 с каждым год. становится более красивым и продвинутым, а условия обучения в нем все лучше.;Нет ;;568;853;;;;;;18;"мк 7 москва;"
770155;Центральный ФО;г. Москва;г. Москва;Московская средняя специальная музыкальная школа им. Гнесиных;Государственный;Нет;Культура и искусство ;www.gnesinka.com;г. Москва, ул. Знаменка, д. 12/2, стр.3;+7 (499) 643-23-74;с 12.02.2018 по 14.04.2026;МССМШ имени Гнесиных – одно из ведущих учреждений музыкального образования России, входит в число лучших музыкальных школ страны и широко известна в профессиональном сообществе за рубежом. Образовательный комплекс включает в себя дошкольное музыкальное образование и интегрированное обучение по программам общеобразовательной школы (1-9 класс) и среднего профессионального образования (музыкальная школа и Колледж) .Раскрытие и воспитание таланта, индивидуальный подход и бережное отношение к личности ребенка, открытое конкурсное соревнование и, конечно же, глубокие академические знания и высокопрофессиональное владение своим ремеслом — незыблемые основы деятельности педагогов МССМШ им. Гнесиных, заложенные создателем школы, выдающимся деятелем культуры Еленой Фабиановной Гнесиной.;Есть;600;500;800;;;;;;98;"гнесинка колледж;"
770156;Центральный ФО;г. Москва;г. Москва;Московский автомобильно-дорожный колледж имени А.А.Николаева (МАДК);Государственный;Нет;Технологии и технические науки ;madk.mskobr.ru/;г. Москва, ул. Бакунинская, д. 81;+7 (499) 265-37-44;от 28.05.2014 до 28.05.2021;По итогам 2015/2016 учебного года МАДК им. А.А. Николаева стал Лауреатом Гранта Мэра Москвы в сфере образования. Правительство Москвы высоко оценило достижения педагогического коллектива по созданию развивающей среды для обучающихся, обеспечивающей возможности их социализации и творческого развития. Высокое качество обучения на всех уровнях, достойные условия труда педагогов и современные педагогические технологии — приоритеты столицы в сфере образования. Они закреплены государственной программой «Развитие образования города Москвы («Столичное образование») на 2012–2018 годы.;Нет ;;487;730;"https://youtu.be/Zc4TM46NNFw
";;;;;74;"мадк; "
770157;Центральный ФО;г. Москва;г. Москва;Московский банковский экономический колледж;Негосударственный;Нет;Гуманитарные науки ;www.mbec.ru;г. Москва, ул. Ивана Бабушкина, д. 14, корп. 1 ;+7 (499) 125-20-15;с 22.01.2016 по 22.01.2022;Учащиеся получают образование высокого качества, ориентированное на современный рынок труда. Колледж трудоустраивает своих выпускников в ведущие кредитно-финансовые организации на позиции среднего звена.Московский банковский экономический колледж предоставляет возможность продолжить учебу по программе высшего образования. В частности, подписано соглашение с Российским экономическим университетом имени Г. В. Плеханова, Финансовым Университетом при Правительстве Российской Федерации о направлении выпускников МБЭК на учебу на очно – заочное, заочное отделения по ускоренной программе профильных направлений высшего образования: 38.00.00 «Экономика и управление». ;Нет ;;Нет;Нет;нет;;;;;92;"мбэк; банковский колледж москва;"
770158;Центральный ФО;г. Москва;г. Москва;Московский городской открытый колледж;Негосударственный;Нет;Широкий профиль ;www.open-college.ru;г. Москва, Волгоградский просп., д. 32, корп. 5;+7 (499) 650-77-07;с 01.09.2017 по 01.09.2023;Московский Городской Открытый Колледж не только обучает популярным и востребованным специальностям, но и является своеобразным культурно- просветительским центром, где проводится множество интересных мероприятий: творческие встречи с известными людьми, научные семинары, мастер-классы и концертные программы. В течение учебного года, студенты колледжа принимают участие в международных, всероссийских и региональных конкурсах и соревнованиях, где занимают призовые места и получают награды. Совместно с партнерскими организациями, на территории колледжа проводятся дополнительные занятия театра моды, школы балета и вокальные конкурсы. Поступить в колледж можно на базе 9 или 11 классов на очную, заочную формы обучения, с применением дистанционных технологий.;Нет ;;Нет;Нет;;;;;;32;открытый колледж москва
770159;Центральный ФО;г. Москва;г. Москва;Московский государственный колледж музыкального исполнительства им. Ф. Шопена;Государственный;Нет;Культура и искусство ;www.mgkmi.ru;г. Москва, ул. Садовая-Каретная, д. 4-6, стр. 7;+7 (495) 699-70-27;с 18.02.2014 по 27.05.2019;Колледж занимает 1535 место в Российской Федерации среди 93398 организаций и 162 место в Москве среди 1006 организаций, имеет высокий уровень комфортности условий предоставления услуг и доступности их получения. Преподаватели колледжа - заслуженные деятетели культуры - помогут учащимся погрузиться в мир музыкального искусства.;Нет ;;487;730;;;;;;24;"шопенский колледж; "
770160;Центральный ФО;г. Москва;г. Москва;Московский государственный образовательный колледж (МГОК);Государственный;Нет;Широкий профиль ;www.mgok.mskobr.ru;г. Москва, Вишнёвая ул., д. 8;+7 (495) 491-68-88;с 16.06.2016 по 27.11.2018;"""Сохраняя традиции, внедряя инновации"" - вот девиз Московского государственного образовательного комплекса. МГОК занял 1-е место в рейтинге «Лучшие государственные колледжи и техникумы Москвы. Это достижение говорит о высоком уровне образования в стенах колледжа. Работники и преподаватели образовательного учреждения делают все, чтобы студенты чувствовали себя комфортно и получали качественное образование. Из дверей колледжа выходят настоящие профессионалы, готовые с успехом применять полученные навыки в реальной жизни.";Нет ;;487;730;https://youtu.be/_i13hJLeCzY;да;;;;22;"образовательный комплекс на вишневой;"
770161;Центральный ФО;г. Москва;г. Москва;Московский государственный театральный колледж им. Л.А. Филатова (МГТК);Государственный;Нет;Культура и искусство ;www.college-filatova.mos.ru;г. Москва, Волоцкой пер., д. 15, корп. 2;+7 (495) 753-30-00;c 22.05.2017 по 30.05.2020;МГТТ имени Л.А. Филатова является государственным нетиповым образовательным учреждением для детей, подростков и молодых людей, проявивших выдающиеся способности в области театрального и сценического искусства. Это уникальное многомодульное учебное заведение по подготовке специалистов в области культуры и искусства. У колледжа уже успела сложиться репутация исключительно удачного и высокопрофессионального образовательного учреждения. Здесь можно получить качественное среднее профобразование гуманитарно-художественного профиля. Такая подготовка может быть полезной для любого культурного человека, вне зависимости от выбранной им профессии. Коллектив колледжа стремится закрепить у студентов мечту о театре, искусстве и активной творческой жизни. Залог успеха в обучении – мастерство педагогов, их знания в области психологии творчества. Среди преподавателей колледжа есть кандидаты и доктора наук, опытные музыканты, хореографы и режиссеры. Слушатели учреждения получают глубокие знания по общеобразовательным предметам, вокалу, актерскому мастерству, сценической речи. ;Нет ;;487;730;;;;;;72;"филатовский колледж;"
770162;Центральный ФО;г. Москва;г. Москва;Московский издательско-полиграфический колледж им. И. Федорова;Государственный;Нет;Технологии и технические науки ;www.mipkif.mskobr.ru;г. Москва, Ярославское ш., д. 5;+7 (499) 188-17-48 ;с 29.04.2015 по 29.04.2021;Колледж был основан в 1929 году, с тех пор в его стенах было подготовлено около 40 тысяч высококвалифицированных специалистов для издательско-полиграфических предприятий. МИПК им. И. Федорова входит в список 100 лучших средних специальных учебных заведений начального и среднего профессионального образования страны. Участие колледжа в российских и международных конкурсах подтверждается огромным количеством грамот, дипломов и благодарственных писем.;Нет ;;568;853;нет;;да;;ДА;86;"мипк федорова;"
770163;Центральный ФО;г. Москва;г. Москва;Московский колледж архитектуры и градостроительства (МКАГ);Государственный;Нет;Технологии и технические науки ;www.mcag.mskobr.ru;г. Москва, Анадырский пр., д. 79, стр. 1;+7 (495) 474-25-84;с 07.07.2015 по 30.04.2020;Сегодня колледж – это учебное заведение, отвечающее современным требованиям. Оно сохраняет и приумножает лучшие традиции. Среди основных стратегий образования в колледже не только подготовка квалифицированных специалистов к успешной профессиональной деятельности, но и создание перспективы карьерного роста выпускников. Педагогический коллектив колледжа прилагает все усилия, чтобы выпускники получили достойное образование, сделали карьеру, положив в основу преуспевающей жизни надёжную профессию.;Нет ;;487;730;;;да;;;23;"Колледж МКАГ;"
770164;Центральный ФО;г. Москва;г. Москва;Московский колледж бизнес-технологий;Государственный;Нет;Гуманитарные науки ;www.cbcol.mskobr.ru;г. Москва, ул. Пресненский Вал, д. 15, стр. 1;+7 (499) 790-06-53;c 29.03.2015 по 29.03.2020;Мотивирующая образовательная среда, созданная в колледже, способствует успешной подготовке студентов, поскольку обучение строится на взаимодействии в образовательном процессе студентов не только с преподавателями, но и с социальными партнерами-работодателями (дуальное обучение). В колледже используются электронные образовательные ресурсы, функционируют дистанционные курсы, лингвистический центр, центр профессионального обучения 1С. Студенты старших курсов могут работать по специальности, перейдя на индивидуальный учебный план, что позволяет лучше подготовиться к профессиональной деятельности.;Нет ;;487;730;https://youtu.be/55Qm_tBC8Po;;;;ДА;25;"кбт москва; "
770095;Центральный ФО;г. Москва;г. Москва;Московский колледж железнодорожного транспорта РУТ (МИИТ);Государственный;Да;Технологии и технические науки ;www.mkgt.ru;г. Москва, Кучин пер., д. 14;+7 (495) 687-64-31;c 21.03.2018 по 21.03.2030;Колледж принимает участие в различных конференциях, конкурсах, олимпиадах. Создан музей, посвященный многолетней истории колледжа. ;Нет ;;720;1080;https://youtu.be/2mxvfUnw5ag;;;;;4;"колледж жд миит; мкжт кучин;"
770165;Центральный ФО;г. Москва;г. Москва;"Московский колледж профессиональных технологий ""Воробьевы горы""";Государственный;Нет;Технологии и технические науки ;www.vg.mskobr.ru;г. Москва, ул. Косыгина, д. 17, корп. 3;+7 (495) 536-00-00;с 19.11.2015 по 19.11.2027;Это современная образовательная организация, оборудованная доступной средой. Коллектив педагогов колледжа сформирован из высококвалифицированных и опытных представителей педагогической отрасли. Многие преподаватели специальных дисциплин являются внешними совместителями, некоторые одновременно с работой в колледже трудятся в профильных организациях и следят за ситуацией на рынке. Отдельно можно выделить продуманную работу по профессиональному развитию студентов. В колледже есть продуманный план мероприятий, в который входят: праздничные мероприятия, мастер-классы, спортивные мероприятия и секции, спектакли и выставки.;Нет ;;487;730;;;;;;63;"мкпт воробьевы горы;"
770166;Центральный ФО;г. Москва;г. Москва;"Московский колледж управления, гостиничного бизнеса и информационных технологий ""Царицыно""";Государственный;Нет;Широкий профиль ;www.collegetsaritsyno.mskobr.ru;г. Москва, Шипиловский пр., д. 37, корп. 1;+7 (495) 391-29-54;с 25.04.2015 до 29.04.2021;"Колледж ""Царицыно"" - это самый известный и уважаемый в Москве колледж гостинично-ресторанного бизнеса, который готовит гостиничных менеджеров более 30 лет. Значимый «вес» учебного заведения и, соответственно, его диплома в отрасли дает возможность выпускникам претендовать на позиции в лучших отелях Москвы. Им гарантируется 100% трудоустройство. Среди партнеров колледжа гиганты мировой гостиничной индустрии — Marriot, Baltschug Kempinski, Crowne Plaza, Метрополь, Swissotel. Важная составляющая обучения — стажировки. Контакты колледжа с деловыми партнёрами в Германии, Франции, Италии и Греции, позволяют всем желающим студентам пройти зарубежные стажировки, ознакомиться с Европейскими технологиями обслуживания клиентов. Также здесь можно неплохо выучить английский, немецкий и итальянский языки за счет дисциплин учебного плана и дополнительных программ. Прием в колледж также осуществляется по программе Приток. Приток – это программа целевой подготовки студентов с последующим трудоустройством на штатные должности Московского аэропорта Домодедово.";Нет ;;487;730;https://youtu.be/sr4xiL4HObg;да;да;;ДА;51;"колледж в царицыно; колледж 37;"
770167;Центральный ФО;г. Москва;г. Москва;Московский многопрофильный техникум им. Л.Б. Красина (ММТ);Государственный;Нет;Широкий профиль ;mmt-krasina.mskobr.ru;г. Москва, ул. Велозаводская, д. 8; +7 (495) 675-09-24;от 04.06.2018 до 04.06.2024;Подать заявление на обучение в ММТ им. Красина можно в электронном виде через сайт мэра Москвы. Там прописаны все образовательные программы, сроки обучения и вступительные испытания. Это позволяет поступающему подать документы в удобной форме.;Нет ;;487;730;;;;;;73;"ммт красина; колледж красина;"
