id колледжа;Федеральный округ;Регион;Город;Название ВУЗа;Тип колледжа;Колледж при вузе;Направление колледжа;Официальный сайт;Адрес головного корпуса;Телефон приемной комиссии;Срок действия аккредитации;Достижения колледжа, факты и цифры;Общежитие;Стоимость общежития (минимальная в месяц);Государственная академическая стипендия (мес.);Стипендия по социальным льготам;Ссылка на ютуб-ролик о колледже ;WORLDSKILLS HI-TECH 2017;DIGITALSKILLS 2017;EUROSKILLS 2018;ТОП-100;по порядку;Синонимы
770027;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский автомобильно-дорожный колледж;Государственный;Нет;Технологии и технические науки ;www.eadk.ru;г. Екатеринбург, ул. Ленина, д. 91;+7 (343) 374-01-10;c 13.11.2015 по 06.05.2020;Свердловский дорожный техникум был образован в 1930 году. Учебно-материальная база колледжа включает в себя 55 специальных кабинетов и 17 лабораторий (в том числе 7 кабинетов-лабораторий компьютерной техники), актовый и лекционный залы, библиотеку и читальный зал, медпункт, общежитие, столовую и буфет, 2 спортивных зала, тренажёрный класс, гараж и полигон, кузнечный, сварочный, слесарный и станочный классы и др. Каждый выпускник кроме диплома о среднем профессиональном образовании получает рабочую профессию: дорожный рабочий, автослесарь, водитель категории «В» или «С», машинист.Важным структурным подразделением колледжа является региональный учебный центр, которому в 2014 году исполнится 20 лет.;Есть;774;538;730;www.youtube.com/watch?v=wyh_2KMY_hA;;;;ДА;133;"уральский автодорожный колледж; автодорожный колледж екатеринбург; екатеринбургский транспортный колледж;"
770028;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский колледж транспортного строительства;Государственный;Нет;Технологии и технические науки ;www.ects.ru;г. Екатеринбург, ул. Первомайская, д. 73;+7 (343) 374-04-01;c 12.05.2016 по 12.12.2020;Год основания образовательного учреждения —  1929. За эти годы подготовлено свыше 25 тысяч специалистов для различных отраслей экономики и народного хозяйства Уральского региона и всей страны. Сегодня колледж осуществляет подготовку по 18 специальностям. В их числе новые, востребованные в современных условиях специальности, связанные со строительством, информационными технологиями, экономикой, экологией, сферой обслуживания, сертификацией, юриспруденцией.;Есть;686;538;730;;;;;;134;"ектс екатеринбург; екатеринбургский транспортный колледж; екатеринбургский колледж на первомайской;"
770029;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский монтажный колледж;Негосударственный;Нет;Технологии и технические науки ;www.емколледж.рф;г. Екатеринбург, ул. Декабристов, д. 83;+7 (343) 257-45-48;с 09.11.2015 по 03.04.2021;Монтажный колледж знаменит своими преподавателями и выпускниками, которые работают по всей стране. Высокое качество преподавания, актуальные знания и большое количество практики - вот, что обеспечивает высокий уровень подготовки студентов. Колледж также принимает участие в разных конкурсах и проектах. Например, по результатам 2016 года колледж стал лауреатом конкурса «100 лучших ссузОВ России» и награжден Золотой медалью и дипломом лауреата конкурса!;Есть;1 074;690;1035;нет;;;;ДА;126;"уральский монтажный колледж; ем колледж екатеринбург; "
770030;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский политехникум;Государственный;Нет;Технологии и технические науки ;www.ekpt.ru;г. Екатеринбург, пер. Короткий, д. 1;+7 (343) 295-91-96;c 12.05.2016 по 16.06.2021;В  техникуме есть современно оснащенные компьютерные классы. Дисциплины ведут преподаватели  и мастера высшей и первой категории. Каждый учебный год в техникуме проводятся олимпиады по дисциплинам, специальностям, различные викторины и конкурсы.В техникуме реализуется проектная деятельность, результатами которой является наличие печатных статей как преподавателей, так и студентов. Студенческий успех подтверждается наличием премии Губернатора Свердловской области, наличием дипломов и грамот по результатам мероприятий.Студенты техникума активно участвуют в районных, областных мероприятиях, были призерами в военизированной эстафете, в спортивных соревнованиях по мини-футболу.Ежегодно проводятся литературные  вечера, студенты принимают участие в конкурсе чтецов. В техникуме уже много лет реализуется социальный проект по оказанию социальной помощи населению.;Есть;410;538;730;;;;;;135;"екпт екатеринбургский;"
770031;Уральский ФО;Свердловская область;г. Екатеринбург;"Екатеринбургский техникум ""Автоматика""";Государственный;Нет;Технологии и технические науки ;www.etavtomatika.ru;г. Екатеринбург, ул. Надеждинская, д. 24;+7 (343) 324-03-79;c 28.11.2016 по 13.01.2021;"Год основания образовательного учреждения — 1982. Для учащихся школ в учебном заведении предусматривается предпрофессиональная подготовка, имеющая целью профессиональную ориентацию в процессе более близкого знакомства с нашим учреждением; а также профессиональная довузовская подготовка, предусматривающая возможность поступления наших выпускников в ВУЗ на укороченный срок обучения. В техникуме Автоматика многие обучающиеся смогут продолжить занятия (или начать их!) любимым делом: спортом, художественной самодеятельностью, техническим или информационным творчеством, а также реализовать себя в позиции лидера, общественно значимой личности.";Нет ;;538;730;;;;;;131;"екатеринбург автоматика; колледж автоматика екатеринбург;"
770386;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский техникум отраслевых технологий и сервиса;Государственный;Нет;Сфера услуг, сервис;www.parikmaher-ekb.ru;г. Екатеринбург, ул. Учителей, д. 2;+7 (343) 341-08-82;с 23.11.2015 по 09.01.2021;Техникум образован в 1981 году. Более трёх тысяч выпускников техникума гордятся тем, что учились здесь. Техникум шефствует над Детским домом «Гнёздышко», Детским реабилитационным центром «Лювена», проводит дни бесплатного обслуживания пенсионеров Кировского района в Центре социальной защиты населения, декады бесплатного обслуживания ветеранов войн. Уроки производственного обучения проходят в учебных парикмахерских, где с первых недель обучения студенты под руководством мастера начинают обслуживать клиентов. В техникуме есть хорошо оснащённые учебные классы, где  изучают теорию – специальные и общественные дисциплины. ;Есть;640;792;1035;;да;;;;387;"отраслевой колледж екатеринбург; етотс екатеринбург; "
770032;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский техникум химического машиностроения;Государственный;Нет;Технологии и технические науки ;www.ethm.ru;г. Екатеринбург, ул. Дагестанская, д. 36;+7 (343) 258-95-95;С 18.01.2016 по 26.01.2021;Машиностроительный техникум организован в 1946 году в г. Свердловске при заводе «Уралхиммаш» по приказу Министра машиностроения и приборостроения СССР. Создание техникума стало ответом на требование эпохи: после Великой Отечественной войны стране были остро нужны технические кадры, особенно среднего звена - техники. Сейчас техникум является единственным из учреждений среднего профессионального образования Уральского региона, где проводится подготовка специалистов-техников для отрасли химического машиностроения. За годы своего существования техникум подготовил более 10 000 специалистов;Есть;600;690;1035;нет;;;;;123;"хим колледж екатеринбург; машино химический колледж екатеринбург;"
770033;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский торгово-экономический техникум;Государственный;Нет;Гуманитарные науки ;www.ektec.ru;г. Екатеринбург, ул. Большакова, д. 65;+7 (343) 257-60-02;c 19.06.2015 по 23.03.2021;Екатеринбургский торгово-экономический техникум был основан в 1924 году. В 2014 году при поддержке партнеров и спонсоров в ЕТЭТ были открыты учебное кафе «Сказы» и Международный тренинговый центр кулинарного мастерства, оснащенный новейшим оборудованием. В 2018 году техникум вошел в ТОП-100 (из 3 500 колледжей и техникумов) учреждений среднего профессионального образования, наиболее активно проявивших себя в чемпионате «WorldSkills». На сегодняшний день техникум является базовой площадкой для проведения регионального этапа чемпионата WorldSkills по компетенциям «Поварское дело»,  «Ресторанный сервис», «Администрирование отеля».;Есть;1000;538;730;;;;;;138;"торговый колледж екатеринбург; экономический колледж на большакова екатеринбург;"
770034;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский экономико-технологический колледж;Государственный;Нет;Широкий профиль ;www.eetk.ru;г. Екатеринбург, ул. Декабристов, д. 58;+7 (343) 257-44-66;c 24.06.2015 по 10.04.2020;"В 2014 году создано государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский экономико-технологический колледж» .В ноябре 2017 г. состоялось торжественное празднование, посвященное 85-летию ГАПОУ СО «Екатеринбургского экономико-технологического колледжа». Также Екатеринбургский экономико-технологический колледж — лауреат конкурса «100 лучших образовательных учреждений СПО и НПО России» 2010–2011; победитель Всероссийского конкурса «100 лучших товаров и услуг» и обладатель сертификата системы менеджмента качества ISO 9001:2008.";Есть;;538;730;www.youtube.com/watch?v=Z_KtMBj5vko;;;;ДА;137;"технологический колледж екатеринбург; экономический колледж екатеринбург декабристов;"
770035;Уральский ФО;Свердловская область;г. Екатеринбург;Екатеринбургский энергетический техникум;Государственный;Нет;Технологии и технические науки ;www.ekbenergo.ru;г. Екатеринбург, ул. Умельцев, д. 1;+7 (343) 256-96-14;c 03.07.2015 по 20.05.2020;Екатеринбургский энергетический техникум – это единственное на Среднем Урале среднее профессиональное учебное заведение, имеющее государственную лицензию на право подготовки выпускников по наиболее важным, базовым энергетическим специальностям. Уже в двадцатые годы, когда возникла необходимость коренного обновления народного хозяйства и ликвидации технической отсталости страны, большое значение придавалось повышению энергетического потенциала Урала, созданию Уральской энергетической системы с рядом крупных электростанций, связанных линиями электропередач. Это потребовало подготовки новых высококвалифицированных кадров, для чего и был создан первый на Урале энергетический техникум. Сейчас обучение в ЕЭТ - это техническое творчество и научные исследования студентов, участие в выставках, конференциях, дипломы победителей конкурсов профессионального мастерства и предметных олимпиад;Есть;445;690;1035;нет;;;;;122;"екб энерго колледж; уральский энергетический колледж; энерготехникум екатеринбург;"
770060;Уральский ФО;Свердловская область;г. Екатеринбург;Колледж железнодорожного транспорта Уральского государственного университета путей сообщения (УрГУПС);Государственный;Да;Технологии и технические науки ;www.crt.usurt.ru;г. Екатеринбург, ул. Братьев Быковых, д. 36;+7 (343) 221-25-88;с 12.07.2016 по 11.03.2019;Колледж железнодорожного транспорта является структурным подразделением Федерального государственного бюджетного образовательного учреждения высшего профессионального образования Уральский государственный университет путей сообщения. В КЖТ УрГУПС работником, занятым в научной деятельности, Козловым П.А. организовано и работает Научное общество (НО). В рамках работы НО проводятся научные семинары, принять участие в которых могут как студенты и преподаватели КЖТ УрГУПС, так и педагогические и научные работники других организаций. Основной целью Научного общества КЖТ УрГУПС является содействие повышению качества подготовки квалифицированных специалистов, формированию научного мышления и созданию условий для развития научного творчества обучающейся молодежи, интеграции ее в научно-образовательное пространство.;Есть;;670;1005;;;;;;112;"колледж при ургупс; транспортный колледж ургупс; жд колледж екатеринбург; уральский колледж жд транспорта;"
770092;Уральский ФО;Свердловская область;г. Екатеринбург;Колледж предпринимательства и социального управления;Негосударственный ;Нет;Гуманитарные науки ;www.kpsu.ru;г. Екатеринбург, ул. Сибирский тракт, д. 8 Б;+7 (343) 202-10-90;c 06.07.2017 по 06.07.2023;Колледж предпринимательства и социального управления основан в 1993 году. Сегодня на заочном отделении Колледжа обучаются 486 студентов. Образовательный процесс обеспечивают 38 преподавателей, в том числе 14 кандидатов наук, 1 заслуженный учитель РФ, 5 почетных работника образования РФ, 9 преподавателей высшей квалификационной категории. ;Есть;;Нет;Нет;;;;;;146;"кпсу екатеринбург; колледж управления екатеринбург; екатеринбургский колледж предпринимательства;"
770111;Уральский ФО;Свердловская область;г. Екатеринбург;"Колледж управления и сервиса ""Стиль""";Государственный;Нет;Сфера услуг, сервис;www.style-ekb.ru;г. Екатеринбург, ул. Белинского, д. 91;+7 (343) 251-38-65;c 10.02.2016 по 20.05.2020;История колледжа уходит корнями в 1928 год. В 2013 году Колледж «Стиль» вошел в сотню ведущих предприятий России по данным Международного Форума «Инновации и Развитие». Также учебное заведение сотрудничает с такими известными брендами Урала, как Атриум Палас Отель, Новотель, Рамада, рестораны и кафе города, где наши студенты проходят практику и, завершив обучение, продолжают работать. Учитывая, что выпускники востребованы на рынке труда, многие после окончания идут работать по специальности, некоторые продолжают обучение в ВУЗах по сокращенной программе.;Есть;525;538;730;www.1-tube.ru/watch/d1tCgAGEsos;;;;;136;"колледж стиль екатеринбург; екатеринбургский колледж на белинского; куис стиль;"
770113;Уральский ФО;Свердловская область;г. Екатеринбург;Колледж Уральского государственного аграрного университета (УрГАУ);Государственный;Да;Сельскохозяйственное дело ;www.urgau.ru;г. Екатеринбург, ул. Карла Либкнехта, д. 42;+7 (343) 371-33-63;с 03.03.2016 по 01.04.2019;На протяжении 78 лет университет ведет образовательную, научно-исследовательскую деятельность с учетом как российского, так и мирового опыта, в условиях модернизации и инновационного развития России с учетом востребованности квалифицированных кадров и отечественных научных разработок организациями агропромышленного комплекса. Целевые ориентиры Уральского ГАУ – Прогноз научно-технологического развития агропромышленного комплекса Российской Федерации на период до 2030 года и Федеральная научно-технологическая программа развития сельского хозяйства на 2017-2025 годы.;Есть;710;930;1400;https://vimeo.com/180210248;;;;;114;"колледж при ургау; аграрный колледж екатеринбург; агроколледж екатеринбург;"
770114;Уральский ФО;Свердловская область;г. Екатеринбург;Колледж Уральского государственного лесотехнического университета (УГЛТУ);Государственный;Да;Сельскохозяйственное дело ;www.fspo-usfeu.ru;г. Екатеринбург, ул. Студенческая, д. 19;+7 (343) 374-37-20;c 27.09.2106 по 01.04.2022;Целью учебного процесса на факультете является подготовка конкурентоспособных специалистов, востребованных на региональном рынке труда. Среди выпускников технологи деревообрабатывающих предприятий и мебельных фирм, высококвалифицированные техники лесного и лесопаркового хозяйства, специалисты фирм и предприятий по озеленению и планировке садов и парков, квалифицированные техники по обслуживанию автомобилей, менеджеры автосалонов, специалисты землеустроительных фирм. Факультет обучает выпускников 11-х классов по образовательным программам среднего профессионального образования – программам подготовки специалистов среднего звена за счет средств федерального бюджета и на договорной основе.;Есть;770;539;809;;;;;;118;"колледж при углту; лесотехнический техникум;"
770115;Уральский ФО;Свердловская область;г. Екатеринбург;Колледж Уральского государственного университета физической культуры (УралГУФК);Государственный;Да;Спорт и физическая культура;www.sport-ural.ru/kolledzh;г. Екатеринбург, ул. Шаумяна, д. 85;+7 (343) 234-65-50;с 28.09.2016 по 01.07.2021;Многие выпускники колледжа удачно вошли в спортивный мир, а нынешние студенты упорно достигают поставленных целей. Колледж Уральского государственного университета физической культуры — филиал в г. Екатеринбург по праву может гордиться высочайшим уровнем профессорско-преподавательского состава и многочисленными достижениями своих выпускников.;Нет ;;700;1000;;;;;;111;"Колледж при УралГУФК; физкультурный колледж екатеринбург; уральский физкультурный колледж;"
770116;Уральский ФО;Свердловская область;г. Екатеринбург;Колледж Уральского государственного экономического университета (УрГЭУ);Государственный;Да;Гуманитарные науки ;www.college.usue.ru;г. Екатеринбург, ул. 8 марта, д. 62;+7 (343) 210-49-99;С 15.05.2018 по 15.05.2024;При Уральском государственном экономическом университете работает колледж для подготовки специалистов среднего профессионального уровня. Колледж УрГЭУ был создан с целью развития подготовки специалистов среднего звена - работников сферы экономики и управления, сервиса и туризма и основан по концепции непрерывного обучения «Школа-Колледж-Вуз».  При Уральском государственном экономическом университете работает колледж для подготовки специалистов среднего профессионального уровня. Колледж УрГЭУ был создан с целью развития подготовки специалистов среднего звена - работников сферы экономики и управления, сервиса и туризма и основан по концепции непрерывного обучения «Школа-Колледж-Вуз». Кроме того, колледж является региональной инновационной площадкой Уральского отделения Российской академии образования (УрО РАО) в рамках комплексной программы «Образование в Уральском регионе: научные основы развития и инноваций».;Есть;1080;800;1600;https://youtu.be/iXMYdcxFVlA;;;;;121;"Колледж при УрГЭУ; экономический колледж при гос университете екатеринбург;"
770117;Уральский ФО;Свердловская область;г. Екатеринбург;Колледж Уральского государственного юридического университета (УрГЮУ);Государственный;Да;Гуманитарные науки ;www.usla.ru/entrance/spo;г. Екатеринбург, ул. Комсомольская, д. 21;+7 (343) 362-41-18;с 07.08.2014 по 13.11.2019;Факультет среднего профессионального образования Уральского государственного юридического университета готовит специалистов для работы в судебных, правоохранительных и других органах (помощников судей, помощников нотариусов, судебных приставов, судебных исполнителей и т.п.). История факультета началась с образования в 1994 году Юридического колледжа, который первым на Урале начал готовить юристов среднего звена. За годы работы было подготовлено 1097 специалистов, 92 студента окончили факультет с красным дипломом. В настоящее время форма обучения - очная и заочная.;Есть;Нет данных;539;809;;;;;;120;"Колледж при УрГЮУ; юридический колледж екатеринбург; "
