Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2019 году;2019 очная Прох.балл Бюджет 1 волна;2019 очная Прох.балл Бюджет 2 волна;2019 очная Прох.балл Платно ;2019 очная Число мест Бюджет ;2019 очная Число мест Платно ;2019 очная Конкурс Бюджет ;2019 очная Конкурс Платно ;2019 очная Срок  ;2019 очная Стоимость  ;2019 очно-заочная Прох.балл Бюджет ;2019 очно-заочная Число мест Бюджет ;2019 очно-заочная Число мест Платно ;2019 очно-заочная Срок  ;2019 очно-заочная Стоимость  ;2019 заочная Прох.балл Бюджет ;2019 заочная Число мест Бюджет ;2019 заочная Число мест Платно ;2019 заочная Срок  ;2019 заочная Стоимость  ;2018 очная Прох.балл Бюджет 1 волна;2018 очная Прох.балл Бюджет 2 волна;2018 очная Прох.балл Платно ;2018 очная Число мест Бюджет ;2018 очная Число мест Платно ;2018 очная Конкурс Бюджет ;2018 очная Конкурс Платно ;2018 очная Срок  ;2018 очная Стоимость  ;2018 очно-заочная Прох.балл Бюджет ;2018 очно-заочная Число мест Бюджет ;2018 очно-заочная Число мест Платно ;2018 очно-заочная Срок  ;2018 очно-заочная Стоимость  ;2018 заочная Прох.балл Бюджет ;2018 заочная Число мест Бюджет ;2018 заочная Число мест Платно ;2018 заочная Срок  ;2018 заочная Стоимость  ;2017 очная Прох.балл Бюджет 1 волна;2017 очная Прох.балл Бюджет 2 волна;2017 очная Прох.балл Платно ;2017 очная Число мест Бюджет ;2017 очная Число мест Платно ;2017 очная Конкурс Бюджет ;2017 очная Конкурс Платно ;2017 очная Срок  ;2017 очная Стоимость  ;2017 очно-заочная Прох.балл Бюджет ;2017 очно-заочная Число мест Бюджет ;2017 очно-заочная Число мест Платно ;2017 очно-заочная Срок  ;2017 очно-заочная Стоимость  ;2017 заочная Прох.балл Бюджет ;2017 заочная Число мест Бюджет ;2017 заочная Число мест Платно ;2017 заочная Срок  ;2017 заочная Стоимость  ;2016 очная Прох.балл Бюджет 1 волна;2016 очная Прох.балл Бюджет 2 волна;2016 очная Прох.балл Платно ;2016 очная Число мест Бюджет ;2016 очная Число мест Платно ;2016 очная Конкурс Бюджет ;2016 очная Конкурс Платно ;2016 очная Срок  ;2016 очная Стоимость  ;2016 очно-заочная Прох.балл Бюджет ;2016 очно-заочная Число мест Бюджет ;2016 очно-заочная Число мест Платно ;2016 очно-заочная Срок  ;2016 очно-заочная Стоимость  ;2016 заочная Прох.балл Бюджет ;2016 заочная Число мест Бюджет ;2016 заочная Число мест Платно ;2016 заочная Срок  ;2016 заочная Стоимость  ;Содержание программы;Профессии;Адрес обучения по данному профилю;Min балл  Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ;;1
г. Москва;0189;МПУ (Московский Политех);Компьютерные и информационные науки;09.03.02 Информационные системы и технологии;200055;Информационные системы и технологии обработки цифрового контента;Институт принтмедиа и информационных технологий;Да;;;;0;0;;;;;;0;25;5;;;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Во всех сферах науки и техники происходит активное внедрение информационных технологий. Важнейшими направлениями деятельности выпускников-бакалавров является исследование, разработка, внедрение и сопровождение информационных технологий и систем в сфере медиаиндустрии. Наши выпускники владеют навыками программирования на языках C, C++, C#, PHP, JavaScript, Java, способны разрабатывать системы управления базами данных MySQL и MS-SQL, настраивать технические средства информационных систем перед вводом их в эксплуатацию.;Инженер, эксперт по автоматизации процессов, инженер по внедрению и сопровождению информационных систем, администратор информационных систем, аналитик, тестировщик информационных систем.;г. Москва, ул. Прянишникова, д. 2А;36;46;;;;;;;;50;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;0;6;0;0;;;1499
г. Москва;0189;МПУ (Московский Политех);Компьютерные и информационные науки;09.03.03 Прикладная информатика;005817;Корпоративные информационные системы;Факультет информационных технологий;Да;;;;40;10;;;4;;;0;0;;;;0;0;;;235;229;;40;20;36;8.2;4;194,000;Набора не было;0;0;;;Набора не было;0;0;;;211;211;127;;;25.5;;;;;;;;;;;;;;;184;;;;;;;;;;;;;;;;;;Во время обучения студенты приобретают компетенции ИТ-консультантов в области обследования, моделирования и реинжиниринга бизнес-процессов, последующего внедрения и настройки КИС крупнейших ИТ-вендоров.  Особое внимание в учебных курсах уделяется формированию навыков проектирования, разработки и тестирования настольных, веб и мобильных приложений для автоматизации широкого класса бизнес задач. Образовательная программа соответствует требованиям профессиональных стандартов в области ИТ, а также включает сертификационные курсы по разработке и внедрению ERP, CRM, BPM систем от 1С, Oracle, Microsoft Dynamics, SAP и других лидеров рынка.;Программист, специалист отдела информационных технологий, системный администратор, IT-менеджер, frontend и backend разработчик, бизнес-аналитик, специалист по облачным технологиям.;г. Москва, ул. Б. Семеновская, д. 38;40;46;;;;;;;;46;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;0;6;0;0;;;1500
г. Москва;0189;МПУ (Московский Политех);Компьютерные и информационные науки;09.03.03 Прикладная информатика;200158;Большие и открытые данные;Факультет информационных технологий;Да;;;;20;10;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Широкое распространение информационных технологий, Интернета и сложных электронных устройств способствует взрывному увеличению объемов данных (Big Data), значительная часть из которых размещается в открытом доступе (Open Data). Несмотря на постоянно возрастающую мощность вычислительной техники, она не справляется с качественной и полноценной обработкой информации. В связи с этим существует острая потребность в разработке новых эффективных математических моделей и алгоритмов, компьютерных систем и программного обеспечения для решения широко класса аналитических задач в промышленности, здравоохранении, биоинформатике, экономике, интернете вещей и в других высокотехнологичных отраслях. Студенты программы получают весомый багаж математических знаний и навыков их применения для практических задач, формируют компетенции программистов и аналитиков информационных потоков, изучают специализированные стандарты, технологии и системы в области больших и открытых данных.;Программист, специалист отдела информационных технологий, системный администратор, IT-менеджер, frontend и backend разработчик, бизнес-аналитик, специалист по облачным технологиям.;г. Москва, ул. Б. Семеновская, д. 38;40;46;;;;;;;;46;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;0;6;0;0;;;1501
г. Москва;0189;МПУ (Московский Политех);Компьютерные и информационные науки;10.03.01 Информационная безопасность;005818;Кибербезопасность новой информационной среды;Факультет информационных технологий;Да;;;;22;30;;;4;;;0;0;;;;0;0;;;238;237;;20;20;79.4;4.8;4;194,000;Набора не было;0;0;;;Набора не было;0;0;;;227;203;127;;;51.4;;;;;;;;;;;;;;;192;;;;;;;;;;;;;;;;;;По данным крупнейших кадровых агентств на ИТ-рынке России быстрее всего растет спрос на специалистов по информационной безопасности, увеличиваются и размеры компенсации их труда. Высокая актуальность этой профессии предопределена долгосрочными трендами в информационной среде: взрывным ростом числа мобильных устройств и гаджетов, обрабатываемых ими личных и служебных данных, широким распространением веб-приложений и облачных сервисов, развитием электронного бизнеса в интернет и быстрым ростом количества пользователей интернет-услуг. Личные, коммерческие, приватные и конфиденциальные данные на мобильных устройствах, в веб-приложениях и облаках становятся ценностями, которые нужно тщательно сохранять и защищать. Специалисты по кибербезопасности, прошедшие подготовку по данной программе, получают самые востребованные на рынке знания и квалификации по проектированию и анализу защищенности веб-приложений и облачных сервисов, оценке рисков в области защиты данных, обеспечению безопасности с помощью самых современных решений.;Специалист отдела информационной безопасности, системный администратор, бизнес-аналитик, разработчик систем безопасности, программист, тестировщик.;г. Москва, ул. Б. Семеновская, д. 38;40;46;;;;;;;;46;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;0;6;0;0;;;1502
г. Москва;0189;МПУ (Московский Политех);Компьютерные и информационные науки;10.05.03 Информационная безопасность автоматизированных систем;005819;Безопасность перспективных информационных систем;Факультет информационных технологий;Да;;;;22;8;;;5;;;0;0;;;;0;0;;;231;233;;20;10;28;1.8;5;199,000;Набора не было;0;0;;;Набора не было;0;0;;;217;216;127;;;24.7;;;;;;;;;;;;;;;193;;;;;;;;;;;;;;;;;;Программа 5-летного специалитета развивает и углубляет навыки и компетенции бакалаврской программы «Безопасность перспективных информационных систем», дополняя их самыми необходимыми навыками в области аппаратной, программной, облачной и веб-безопасности, востребованными в сфере информационных систем на критически важных автоматизированных объектах, а также в промышленных и бытовых устройствах, подключенных к интернету вещей. Цель программы – подготовить специалистов по анализу безопасности, защите критически важных и наиболее ценных информационных систем и данных от угроз, которые будут актуальными в следующие десятилетия.;Специалист отдела информационной безопасности, системный администратор, бизнес-аналитик, разработчик систем безопасности, программист, тестировщик.;г. Москва, ул. Б. Семеновская, д. 38;40;46;;;;;;;;46;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;0;6;0;0;;;1503
г. Москва;0189;МПУ (Московский Политех);Приборостроение;11.03.01 Радиотехника;005820;Системы дальней связи;Факультет урбанистики и городского хозяйства;Нет;;;;0;0;;;;;;0;0;;;;0;0;;;169;182;;30;5;13.4;8;4;194,000;Набора не было;0;0;;;Набора не было;0;0;;;172;178;121;;;19;;;;;;;;;;;;;;;166;;;;;;;;;;;;;;;;;;Студенты учатся оценивать актуальность, перспективность и значимость проектирования средств и сетей мобильной связи. Для этого они учатся выполнять расчёты и проектирование сетей, сооружений и средств связи согласно техническому заданию. А также внедрять результаты исследований и разработок в производство. Студенты получают навык проектной деятельности и умения организации работы персонала.;Инженер-радиотехник, сервисный специалист, инженер-схемотехник, конструктор радиоэлектронной аппаратуры, программист микроконтроллеров, инженер-программист.;г. Москва, ул.Автозаводская, д.16;35;46;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;0;6;0;0;;;1504
г. Москва;0189;МПУ (Московский Политех);Электроэнергетика, теплоэнергетика, ядерная физика;13.03.01 Теплоэнергетика и теплотехника;005821;Теплоэнергетика и теплотехника;Факультет урбанистики и городского хозяйства;Да;;;;25;5;;;4;;;0;0;;;;15;10;5;;182;161;;25;5;17.8;10.6;4;194,000;Набора не было;0;0;;;186;10;10;5;82 000;184;200;121;;;26.6;;;;;;;;;;;;;;;171;;;;;;;;;;;;;;;;;;"Студенты учатся производить тепловую и электрическую энергии на тепловых, электрических станциях, котельных, крупных заводах). Осваивают передачу, распределение и сбыт тепловой энергии и других энергоносителей (объектов ЖКХ, систем тепло- и газоснабжения); учатся производить и обслуживать объекты теплоэнергетического комплекса.";Инженер-теплотехник, управляющий инженерно-технического отдела, инженер по эксплуатации, инженер-проектировщик, инженер-конструктор, инженер-наладчик контрольно-измерительных приборов и автоматизации, энергетик.;г. Москва, ул.Автозаводская, д.16;35;46;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;0;6;0;0;;;1505
г. Москва;0189;МПУ (Московский Политех);Электроэнергетика, теплоэнергетика, ядерная физика;13.03.02 Электроэнергетика и электротехника;005822;Электроэнергетика и электротехника ;Факультет урбанистики и городского хозяйства;Да;;;;20;5;;;4;;;12;8;5;;;15;10;5;;181;178;;20;10;21.7;6.7;4;194,000;Набора не было;0;0;;;212;10;10;5;82 000;220;214;121;;;32.4;;;;;;;;;;;;;;;179;;;;;;;;;;;;;;;;;;В рамках программы бакалавры занимаются проектированием, разработкой и эксплуатацией современной техники, построенной на основе электромеханических преобразователей. Это, прежде всего, бытовая техника: стиральные машины, миксеры, пылесосы, холодильники, электроинструмент, сложная медицинская техника, а также электромеханические системы автоматики для промышленности и авиационно-космической техники.;Инженер-конструктор, инженер-испытатель, сервисный инженер, электромонтер электрооборудования, технический специалист по расчетам и ведению заказов, инженер по когенерации, инженер по тригенерации, руководитель проектов электроосвещения, инженер по строительству объектов электроосвещения, инженер автоматизированных систем технического учёта, инженер систем автоматизированного проектирования, product-менеджер.;г. Москва, ул.Автозаводская, д.16;35;46;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;0;6;0;0;;;1506
г. Москва;0189;МПУ (Московский Политех);Электроэнергетика, теплоэнергетика, ядерная физика;13.03.03 Энергетическое машиностроение;005823;Энергоустановки для транспорта и малой энергетики;Транспортный факультет;Да;;;;40;10;;;4;;;0;0;;;;16;9;5;;176;166;;25;5;13.8;8.8;4;194,000;Набора не было;0;0;;;208;10;15;5;82 000;178;187;121;;;15.2;;;;;;;;;;;;;;;171;;;;;;;;;;;;;;;;;;Программа предполагает реальный опыт создания и экспериментального исследования малоразмерных газотурбинных двигателей, традиционных поршневых двигателей, а также двигателей Стирлинга, Ванкеля и других. ;Контролер ОТК, инженер-технолог, инженер-конструктор, сервисный инженер, руководитель проекта, специалист по промышленной безопасности, специалист управления проектирования, инженер по оборудованию, специалист отдела эксплуатации, технический директор.;г. Москва, ул. Б. Семеновская, д. 38;35;46;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;0;6;0;0;;;1507
г. Москва;0189;МПУ (Московский Политех);Электроэнергетика, теплоэнергетика, ядерная физика;13.03.03 Энергетическое машиностроение;005824;Промышленная теплоэнергетика;Факультет урбанистики и городского хозяйства;Нет;;;;0;0;;;;;;0;0;;;;0;0;;;133;148;;20;10;10.5;2.4;4;194,000;Набора не было;0;0;;;Набора не было;0;0;;;178;187;121;;;15.2;;;;;;;;;;;;;;;171;;;;;;;;;;;;;;;;;;"Объектами профессиональной деятельности инженера по специальности ""Промышленная теплоэнергетика"" являются котельные установки, турбогенераторы, компрессоры,вентиляторы, насосы, тепломассообменные аппараты и трубопроводы энергетических станций и систем, обеспечивающих генерацию, транспортировку и использование энергоносителей на промышленных предприятиях.";Контролер ОТК, инженер-технолог, инженер-конструктор, сервисный инженер, руководитель проекта, специалист по промышленной безопасности, специалист управления проектирования, инженер по оборудованию, специалист отдела эксплуатации, технический директор.;г. Москва, ул.Автозаводская, д.16;35;46;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;0;6;0;0;;;1508
