id профессии;Сфера деятельности;Профессия;В каких областях можно работать?;С чем хочу работать;Что хочу делать;Зарплата начинающего специалиста (по России);Зарплата ведущего специалиста (по России);Что делает специалист;Какими качествами нужно обладать;Книги для саморазвития;Фильмы, влоги, передачи про профессию (не выше 16+);Рекомендуемые специальности ;Похожие профессии;График работы;Характер труда;;;
2422;Бизнес и администрирование;Лоббист;"<ul>
<li>Коммерческий лоббист;</li>
<li>Региональный лоббист;</li>
<li>Лоббист в федеральных органах власти.</li>
</ul>";Люди;"Обслуживать; Защищать";25 000;75 000;"<ul><li>Создает эффективную систему взаимодействия компании с государственными органами;</li><li>Ведет постоянное наблюдение за инициативами органов государственной власти и анализирует их; </li><li>Развивает социальные проекты компании и согласует их на государственном уровне;</li><li>Нарабатывает контакты, выстраивает взаимоотношения с ключевыми фигурами;</li><li>Решает проблемные вопросы и конфликтные ситуации.</li></ul>";"<ul><li>Лидерские качества, умении отстаивать свою точку зрения;</li><li>Организаторские навыки;</li><li>Умение налаживать контакты, грамотно говорить (устно и письменно);</li><li>Презентабельный вид.</li></ul>";<ul><li>Павел Толстых «GR. Практикум по лоббизму в России»*На основании научного и практического опыта, а также серии закрытых интервью с представителями групп влияния автор раскрывает структуру современного лоббизма. Книга будет интересна действующим GR-менеджерам, будущим лоббистам, а также кто интересуется проблемами взаимоотношений всех видов бизнеса и политики.</li><li>Сергей Сушинский «Лоббирование от А до Я»*Книга призвана помочь каждому улучшить работу государства и власти, эффективно отстаивать общественно важные инициативы, лоббировать интересы государства и общества. В книге подробно описаны виды лоббирования, размещены понятные схемы и алгоритмы действий лоббиста. </li><li>GR NEWS*Интернет-портал о современном GR-менеджменте и лоббизме. На сайте можно найти энциклопедию GR, различные примеры из практики действующих специалистов, экспертные мнения на различные вопросы, а также истории успеха известных лоббистов.</li></ul>;"<ul><li>Мисс Слоун (2016)*https://youtu.be/iBeOjjsLx30</li><li>Ника Зебра: Black&White PR #09 Government Relations (GR) в России (2014)* https://youtu.be/Stz1Zq5gqjk</li><li>""GR-диалоги"" на канале Mediametrics*https://youtu.be/L7FX8iswulM</li></ul>";<p>38.03.04 Государственное и муниципальное управление</p><p>41.03.04 Политология</p><p>41.03.06 Публичная политология и социальные науки</p><p>42.03.01 Реклама и связи с общественностью</p><p>38.03.02 Менеджмент</p><p>37.03.02 Конфликтология</p>;;Четкий график;Офисная работа;;;
2423;Бизнес и администрирование;HR-менеджер;"<ul><li>Рекрутер;</li><li>Консультант в области карьерного роста;</li><li>Специалист по подбору и сопровождению персонала;</li><li>Ресёчер;</li><li>Кадровый делопроизводитель.</li></ul>";Люди;Исследовать;30 000;150 000;"<ul><li>Ищет персонал на свободные места или для создания кадрового резерва;</li><li>Оценивает работу сотрудников, проводит их аттестацию;</li><li>Организует корпоративные мероприятия;</li><li>Разрабатывает систему оплаты труда, систему мотивации и поощрения сотрудников;</li><li>Помогает адаптироваться новым сотрудникам, обучает их.</li></ul>";"<ul><li>Умение долго и настойчиво искать нужную информацию;</li><li>Умение слышать собеседника, четко воспринимать информацию на слух;</li><li>Готовность много общаться по телефону и вживую;</li><li>Способность располагать к себе людей.</li></ul>";<ul><li>Ильгиз Валинуров «Рекрутинг на 100%»*Ильгиз Валинуров профессионально занимается подбором персонала с 1999 года. В своей книге он делится с читателями опытом, наработками, проверенными технологиями и «фишками». В книге нет воды и общих фраз, а вся информация и жизненные примеры — это результат обширной практики автора.</li><li>Татьяна Бабкина «Всемирная история кадровой индустрии»*Первая в России книга об истории HR-индустрии, написанная одним из ведущих специалистов в области HR-услуг. Книга не только описывает события, но и приглашает читателей к интерактивному общению, предлагая поучаствовать в конкурсе и совместно с автором воссоздать малоизвестные страницы HR-истории.</li><li>Наталья Тихонова, Михаил Воронин, Дарья Кабицкая «HR-квест. Как сделать сотрудников адвокатами бренда»*Первый отечественный бизнес-роман, в котором рассказывается о работе HR-менеджера и создании корпоративной культуры компании. Героиня романа записывает в блокнот все свои успехи и промахи в работе HR-менеджером, а потом анализирует их вместе с читателем.</li><li>Александр Крымов «Управление персоналом на 100%»*Книга содержит много практических решений важных вопросов в сфере HR – выстраивание отношений с руководством и коллегами, кадровая стратегия и её формирование, эффективное обучение сотрудников. Рабочие идеи подходят для HR-менеджеров, которые увлечены своим делом, руководителей и даже для будущих HR-специалистов, желающих понять, в чем заключается работа HR-менеджера.</li></ul>;<ul><li>Microsoft University & ОтУС «Профессия: HR-специалист»(2012)*https://youtu.be/yW2CnoF5lzY</li><li>Программа «Кадры решают» (2010)*https://youtu.be/c2eVh7NAhjA</li><li>Youtube-канал HRblogger* https://youtu.be/NBhmKoNWuKM</li></ul>;<p>38.03.03 Управление персоналом</p><p>38.03.02 Менеджмент</p><p>37.05.02 Психология служебной деятальности</p><p>37.03.01 Психология</p><p>37.03.02 Конфликтология</p><p>39.03.01 Социология</p><p>39.03.02 Социальная работа</p>;;Четкий график;Офисная работа;;;
2424;Бизнес и администрирование;Бизнес-тренер;"<ul><li>Специалист по корпоративному обучению;</li><li>Коуч;</li><li>Специалист по оценке персонала;</li><li>Индивидуальный график бизнес-тренер.</li></ul>";Люди;Обучать;20 000;170 000;"<ul><li>Создает программы для бизнес-тренингов;</li><li>Организует и проводит бизнес-тренинги;</li><li>Обучает сотрудников компании в теории и на практике;</li><li>Анализирует эффективность тренингов и обучения.</li></ul>";"<ul><li>Желание выступать публично, ораторские качества, харизматичность;</li><li>Эмпатия, умение расположить к себе людей, чувство юмора;</li><li>Быстрая реакция, сообразительность;</li><li>Любовь к обучению и преподаванию.</li></ul>";"<ul><li>Леонид Кроль, Екатерина Михайлова «Тренинг тренеров. Как закалялась сталь»*Эта книга посвящена внутренним особенностям профессиональной области тренерской практики. Рассуждения о том, из чего складывается профессия бизнес-тренера, вопросы, случаи из практики, наглядные иллюстрации и, конечно, практические игры и упражнения – обо всем этом речь идет на страницах книги. 
</li><li>Мария Чуркина, Наталья Жадько «Тренинг для тренеров на 100%»*Книга учит проводить бизнес-тренинги: в ней рассмотрены подготовка и проведение тренингов, подводные камни и сложные случаи из опыта бизнес-тренеров. Чтение этой книги позволит увидеть работу бизнес-тренера со стороны, даст новые идеи и представления о профессиональной деятельности.»</li><li>Жанна Завьялова «Путь тренера»*В книге затронуты очень важные вопросы для будущего бизнес-тренера: с чего начинать, как продвигать себя, как определить собственный стиль, как вести переговоры с клиентами и как провести свой первый тренинг.</li><li>Александр Солдатов «Я бизнес-тренер»*Книга о том, что представляет собой тренинговая система обучения, как разработать и провести качественный тренинг, а также оценить его эффективность.</li></ul>";<ul><li>Microsoft University & ОтУС «Профессия: бизнес-тренер» (2012)*https://youtu.be/yy_iAy0Hd04</li><li>Youtube-канал Радислава Гандапаса*https://youtu.be/iOzBCfiKPkw</li></ul>;<p>44.03.02 Психолого-педагогическое образование</p><p>38.03.01 Экономика</p><p>38.03.02 Менеджмент</p><p>37.03.01 Психология</p><p>37.03.02 Конфликтология</p><p>38.03.03 Управление персоналом</p>;;Индивидуальный график;Разъезды по городу;;;
2121;Наука и техника;Математик;"<ul><li>Аналитик;</li><li>Актуарий</li><li>Математик-программист;</li><li>Инженер-математик;</li><li>Разработчик математических моделей;</li><li>Разработчик моделей big data.</li></ul>";Информация;Исследовать;25 000;120 000;"<ul><li>Разрабатывает математические модели под конкретную задачу и совершенствует их;</li><li>Создает алгоритмы решения задач, прорабатывает его отдельные этапы;</li><li>Проводит математические исследования;</li><li>Приводит к единому стандарту разные вычислительные процессы внутри компании.</li></ul>";"<ul><li>Аналитический склад ума, стратегическое мышление;</li><li>Развитая логика, предельная внимательность;</li><li>Умение концентрироваться в течение долгого времени</li><li>Любовь к головоломкам и желание их разгадать</li></ul>";<ul><li>Нелли Литвак, Андрей Райгородский «Кому нужна математика?»*Если вам хоть раз приходила в голову мысль «В жизни никому и никогда не придется вычислять интеграл!», а профессия математика кажется никому не нужной, то вам необходимо срочно прочесть эту книгу. Авторы книги рассказывают о современном применении математики, о том, что без нее невозможно существование современных авиации, страхования, железных дорог, медицины, интернета и экономики. Книга подойдет и для старшеклассников и студентов, интересующихся математикой, и для всех, неравнодушных к математике.</li><li>Джордан Элленберг «Как не ошибаться. Сила математического мышления»*В школе мы узнаем, что математика — скучный набор правил, который не поддается обсуждению. В своей книге Джордан Элленберг показывает, как узок подобный взгляд: математика — это не абстрактные идеи, далекие от реальной жизни. В этой книге представлен математический метод анализа жизни и подобных вопросов, с трудом выработанный научным сообществом — и изложенный в доступной для каждого форме.</li><li>Стивен Строгая «Удовольствие от х»*Математика пронизывает все в этом мире, включая нас самих, но, к сожалению, мало кто понимает этот универсальный язык настолько хорошо, чтобы по достоинству оценить его мудрость и красоту. Стивен Строгац — тот самый учитель математики, о котором все мечтают в школе. В этой невероятно легкой и увлекательной книге, он дает всем нам второй шанс познакомиться с математикой и, вероятное, выбрать для себя профессию математика.</li><li>Саймон Сингх «Симпсоны и их математические секреты»*Автор рассказывает о самых интересных эпизодах мультсериала, в которых фигурируют важнейшие математические идеи — от числа Пи и бесконечности до происхождения чисел и самых сложных проблем, над которыми работают современные математики. </li></ul>;<ul><li>Игра в имитацию (2014)*https://youtu.be/z5ywP9odJXo</li><li>Великая Тайна Математики (2016)*https://youtu.be/kF14qJbRXds</li><li>Игры разума (2001)* https://youtu.be/fAs4U4XyrHs</li></ul>;<p>01.03.01 Математика</p><p>01.03.02 Прикладная математика и информатика</p><p>01.03.03 Математика и математическое моделирование</p><p>01.03.04 Прикладная математика</p><p>01.05.01 Фундаментальные математика и механика</p><p>02.03.01 Математика и компьютерные науки</p><p>03.03.01 Прикладные математика и физика</p>;;Подвижный график;"Офисная работа; Удаленная работа";;;
2122;Наука и техника;Статистик;"<ul><li>Специалист по статистике;</li><li>Экономист-демограф;</li><li>Медицинский статистик;</li><li>Аналитик данных;</li><li>Бизнес-аналитик</li></ul>";Информация;"Исследовать; Конструировать";20 000;60 000;"<ul><li>Подготавливает статистические отчеты;</li><li>Рассчитывает различные показатели;</li><li>Группирует и обобщает статистические данные в различных областях;</li><li>Генерирует выводы на основе обработанных данных;</li><li>Подготавливает презентации результаты статистических исследований.</li></ul>";"<ul><li>Аналитический склад ума, логическое мышление;</li><li>Умение работать с большими объемами информации;</li><li>Любовь цифрам и таблицам;</li><li>Умение концентрироваться на одной задаче в течение долгого времени.</li></ul>";<ul><li>Чарльз Уилан «Голая статистика»*Статистика помогает принимать важные социальные решения, находить скрытые взаимосвязи между явлениями, лучше понимать ситуацию в бизнесе и на рынке. Чарльз Уилан рассказывает о том, как статистика помогает находить ответы на эти и другие вопросы, и делает это с юмором и блестящими наглядными примерами.</li><li>Грейди Клейн, Алан Дебни «Статистика. Базовый курс в комиксах» *Эта книга — самый интересный, доступный и при этом научный путеводитель по статистическому миру, которым правят данные. Книга-комикс научит будущих статистиков собирать надежные данные, делать правильные выводы, владея ограниченной информацией, и оценивать надежность результатов опросов и многих других данных, которые падают на нас со всех сторон каждый день.</li><li>Авинаш Диксит и Барри Нейлбафф «Теория игр»*Теория игр — это статистическое искусство предугадывать следующий ход соперника с учетом того, что он занимается тем же самым. Её изучение может сформировать совсем новый взгляд на устройство мира и на то, как люди взаимодействуют. На примерах из кино, спорта, политики, истории авторы показывают, как почти все компании и люди вовлечены во взаимодействия, которые описываются теорией игр.</li></ul>;<ul><li>Youtube-канал «Образование для всех. Статистика»*https://youtu.be/mPR59UySeR0</li><li>Статистика с Анатолием Карповым* https://youtu.be/U31shAyEsbY</li><li>TED Talks. Питер Доннелли: Как статистика одурачивает присяжных (2005) https://youtu.be/kLmzxmRcUTo</li></ul>;<p>01.03.05 Статистика</p><p>01.03.01 Математика</p><p>01.03.04 Прикладная математика</p><p>27.03.03 Системный анализ и управление</p><p>38.03.05  Бизнес-информатика</p><p>38.03.01 Экономика</p>;;Четкий график;Офисная работа;;;
;1;;;;;;;;;;;;;;;;;
2659;Культура и искусство;Скульптор;"<ul>
<li>Художник-скульптор</li>
<li>Миниатюрщик</li>
<li>Скульптор по пластическому гриму</li>
<li>Бутафор</li>
<li>Скульптор по пенопласту</li>
</ul>";"Искусство; Природные ресурсы";Творить;25000;70000;"<ul>
<li>Изготавливает формы из гипса и глины;</li>
<li>Делает вручную модели и маточные формы для дайнейшей сборки;</li>
<li>Делает шаблоны и формы по чертежам.</li>
</ul>";"<ul>
<li>Желание работать руками;</li>
<li>Творческая жилка, любовь к искусству</li>
<li>Развитое пространственное мышление;</li>
<li>Хорошая зрительная память, физическая выносливость.</li>
</ul>";"<ul>
<li>Клер Уэйт Браун ""Скульптура. Энциклопедия""*Уникальный иллюстрированный справочник как для начинающих, так и для совершенствующих своё мастерство скульпторов.
Подробное пошаговое руководство с объяснением техники создания скульптуры из самых разнообразных материалов. Чёткая подборка фотографий с пояснениями способов моделирования из глины, гипса и папье-маше; помощь в подборе и использовании дерева и камня для резьбы; изготовлении арматуры и изложниц для отливки. Книга научит вас создавать разнообразные эффекты и различную отделку поверхности. Вы найдёте в этой книге полезные советы по оборудованию мастерской скульптора, а также важнейшие рекомендации по вопросам безопасности труда.</li>
<li>Панкратова Н. ""Скульптура. Для начинающих и студентов художественных вузов""*Легкие и простые советы для начинающих скульпторов. От бесформенного куска глины до готовой скульптуры. Изображение человека и животных в малых пластических формах. Более 150 иллюстраций с многочисленными советами и приемами. Обработка изделий, обжиг, патинирование. Конструкция, слепки и многое другое.</li>
</ul>";"<ul>
<li>Видео о работе скульптора*https://youtu.be/joCuitybCdM</li>
<li>YouTube-канал ""Sculpture Antoni Maslyk""*https://youtu.be/B0w0mBhgXwA</li>
</ul>";"<p>54.05.04 Скульптура</p>
<p>54.03.02 Декоративно-прикладное искусство и народные промыслы</p>
<p>54.03.01 Монументально-декоративное искусство</p>";;Подвижный график;"Удаленная работа; Разъезды по городу";;;
2654;Культура и искусство;Композитор;"<ul>
<li>Композитор концертного жанра</li>
<li>Композитор современной эстраной музыки</li>
<li>Композитор классической музыки</li>
<li>Автор музыкального сопровождения кино и видео</li>
</ul>";Искусство;Творить;15000;80000;"<ul>
<li>Сочиняет музыку для фильмов, рекламных роликов;</li>
<li>Создает уникальные фонограммы для песен;</li>
<li>Подбирает наиболее подходящие музыкальные инструменты и звуки.</li>
</ul>";"<ul>
<li>Истинный интерес к музыкальному искусству;</li>
<li>Креативность, умение запускать творческий процесс внутри себя;</li>
<li>Развитый эмоциональный интеллекст, понимание человеческих переживаний.</li>
</ul>";"<ul>
<li>Майкл Пилхофер, Холли Дей ""Теория музыки для чайников""*Хотите самостоятельно освоить теорию музыки и поступить в вуз на композитора или музуканта? Лучшего помощника, чем это пособие, вам не найти! Здесь просто и наглядно объясняются все ключевые термины и понятия: гаммы, интервалы, темпы, аккорды и их последовательности, фразировка, гармонизация, аранжировка и многое другое. Кроме того, вы научитесь применять полученные сведения при исполнении и сочинении произведений, относящихся к любым стилям, будь то поп, рок, джаз или классика.</li>
<li>Алексей Данилов ""Академия мюзикмейкера""*Книга будет интересна каждому, кто выбрал для себя нелегкий, но очень интересный путь профессионального музыканта и композитора. За плечами автора богатая студийная и концертная практика. Изложенные рекомендации носят не просто теоретический характер, они пропущены через призму собственного опыта. Упор сделан на комплексное овладение вопросами музыкального производства, которое позволит каждому воспитать в себе настоящего музыкального продюсера.</li>
</ul>";"<ul>
<li>Паганини: скрипач дьявола (2013)*</li>
<li>Бессмертная возлюбленная (1994)*https://youtu.be/AT0Gzlzr3tw</li>
</ul>";"<p>53.03.06 Музыкознание и музыкально-прикладное искусство</p>
<p>53.05.01 Искусство концертного исполнительства</p>
<p>53.05.03 Музыкальная звукорежиссура</p>
<p>53.05.06 Композиция</p>";;Индивидуальный график;Удаленная работа;;;
2652;Культура и искусство;Музыкант;"<ul>
<li>Артист ансамбля</li>
<li>Сольный исполнитель музыки</li>
<li>Диджей</li>
<li>Дирижер</li>
<li>Музыкальный руководитель</li>
</ul>";"Искусство; Техника";Творить;15000;60000;"<ul>
<li>Исполняет произведения на музыкальном инструменте;</li>
<li>Подбирает на слух мелодию, фиксирует согласно нотной грамоте;</li>
<li>Репетирует выступление, в том числе с другими исполнителями;</li>
<li>Выступает в качестве солиста-исполнителя или аккомпонемента.</li>
</ul>";"<ul>
<li>Музыкальный слух, чувство ритма;</li>
<li>Желание быть с музыкой 24 часа в сутки;</li>
<li>Умение работать в команде;</li>
<li>Артистизм.</li>
</ul>";"<ul>
<li>Майкл Пилхофер, Холли Дей ""Теория музыки для чайников""*Хотите самостоятельно освоить теорию музыки и поступить в вуз на композитора или музуканта? Лучшего помощника, чем это пособие, вам не найти! Здесь просто и наглядно объясняются все ключевые термины и понятия: гаммы, интервалы, темпы, аккорды и их последовательности, фразировка, гармонизация, аранжировка и многое другое. Кроме того, вы научитесь применять полученные сведения при исполнении и сочинении произведений, относящихся к любым стилям, будь то поп, рок, джаз или классика.</li>
<li>Алексей Данилов ""Академия мюзикмейкера""*Книга будет интересна каждому, кто выбрал для себя нелегкий, но очень интересный путь профессионального музыканта и композитора. За плечами автора богатая студийная и концертная практика. Изложенные рекомендации носят не просто теоретический характер, они пропущены через призму собственного опыта. Упор сделан на комплексное овладение вопросами музыкального производства, которое позволит каждому воспитать в себе настоящего музыкального продюсера.</li>
</ul>";"<ul>
<li>Мое сердце биться перестало (2005)*https://youtu.be/XbM7g1TWniQ</li>
<li>Второй шанс (2015)*https://youtu.be/x-ahkYZG6P0</li>
</ul>";"<p>53.03.06 Музыкознание и музыкально-прикладное искусство</p>
<p>53.05.01 Искусство концертного исполнительства</p>";;Подвижный график;"Разъезды по городу; Командировки";;;
2651;Культура и искусство;Художник;"<ul>
<li>Художник-иллюстратор</li>
<li>Художник-портретист</li>
<li>Живописец</li>
<li>Художник-реставратор</li>
<li>Скетчер</li>
</ul>";Искусство;Творить;25000;135000;"<ul>
<li>Ссоздает изображения под заказ либо по собственному замыслу;</li>
<li>Выбирает цветовую палитру и технику письма в соответствии с замыслом;</li>
<li>Участвует в разработке художественно-конструкторских проектов.</li>
</ul>";"<ul>
<li>Креативность, нестандартное образное мышление;</li>
<li>Художественный талант, вкус</li>
<li>Зрительное восприятие и память;</li>
<li>Желание все время развиваться, искать новые решения.</li>
</ul>";"<ul>
<li>Барбер Баррингтон «Анатомия для художников»*Автор книги, всемирно известный художник Барбер, создал всеобъемлющий анатомический атлас, содержащий всю информацию, необходимую для художника, с рисунками и диаграммами, выдержанными в простом и понятном формате. Книга также содержит полезные советы, которыми в свое время пользовался и сам автор. Незаменимое пособие для всех художников, желающих научиться рисовать человеческую фигуру.</li>
<li>Винсент Ван Гог ""Письма к брату Тео""*Художник полностью доверял своему младшему брату Теодорусу, поэтому делился с ним наиболее сокровенным. В письмах Ван Гога можно прочитать и о работе над его шедеврами, и о сложных отношениях с женщинами, и о бедности. Поднимает живописец также экзистенциальные вопросы.</li>
</ul>";"<ul>
<li>YouTube-канал ""muraljoe""*https://youtu.be/ZvRUjk7kXoQ</li>
<li>YouTube-канал ""Lachri Fine Art""*https://youtu.be/0PkXcelMC9U</li>
<li>YouTube-канал ""KevinOilPainting""*https://youtu.be/lzKYxcyJurQ</li>
</ul>";"<p>54.03.01 Дизайн</p>
<p>54.03.05 Традиционное прикладное искусство</p>
<p>54.05.01 Монументально-декоративное искусство</p>
<p>54.05.02 Живопись</p>
<p>54.05.03 Графика</p>
<p>54.05.05 Живопись и изящные искусства</p>";;Индивидуальный график;"Удаленная работа; Разъезды по городу";;;
2653;Культура и искусство;Певец;"<ul>
<li>Эстрадный певец</li>
<li>Бэк-вокалист</li>
<li>Хорист</li>
<li>Оперный певец</li>
<li>Преподаватель по вокалу</li>
</ul>";"Искусство; Люди";Творить;15000;170000;"<ul>
<li>Исполняет песенные композиции сольно, в коллективе или на подпевке;</li>
<li>Тренирует голосовые связки, развивает профессиональные навыки пения;</li>
<li>Записывает фонограммы под ""минус"".</li>
</ul>";"<ul>
<li>Неподдельный интерес к вокальному искусству;</li>
<li>Желание петь везде и всегда;</li>
<li>Умение работать с публикой;</li>
<li>Харизматичность;</li>
<li>Артистизм.</li>
</ul>";"<ul>
<li>Жан Абитболь ""Власть голоса""*Голос каждого из нас уникален, как отпечатки пальцев или рисунок сетчатки. Данная книга - это увлекательный рассказ об истории формирования человеческого голоса, устройстве голосового аппарата и обладателях знаменитых голосов – певцах и актерах, политиках и адвокатах. Доктор Жан Абитболь, французский хирург-отоларинголог и фониатр, специалист мирового уровня, к которому обращались за помощью многие певцы и ораторы.</li>
<li>Евгений Нестеренко ""Размышления о профессии""*В своей книге Оззи Осборн расставил все точки над «i» относительно мифов о нем. Каким бы зловещим Оззи ни казался на сцене, его острое чувство юмора и самоирония делают эту автобиографию настоящим кладом для будущего рок-певца. «Они говорили, что я никогда не напишу эту книгу. Ну и черт с ними, потому что вот и книга. Теперь мне остается только что-нибудь вспомнить…». Он вспомнил все, что смог, и книга этих воспоминаний получилась невероятно увлекательной и личной.</li>
</ul>";"<ul>
<li>YouTube-канал ""Вероники Воршил""*https://youtu.be/YR2EkJF7_Bk</li>
<li>Дама Пик (2016)*https://youtu.be/bpasZH8JcLs</li>
</ul>";"<p>53.03.01 Музыкальное искусство эстрады</p>
<p>53.03.03 Вокальное искусство</p>
<p>53.03.04 Искусство народного пения</p>
<p>53.05.04 Музыкально-театральное искусство</p>";;Подвижный график;"Разъезды по городу; Командировки";;;
2657;Культура и искусство;Актер;"<ul>
<li>Актер театра и кино</li>
<li>Актер кукольного театра</li>
<li>Преподаватель по актерскому мастерству</li>
<li>Драматический актер</li>
<li>Актер музыкального театра</li>
<li>Актер закадрового дублежа</li>
<li>Аниматор</li>
</ul>";"Искусство; Люди";"Творить; Исследовать";25000;155000;"<ul>
<li>Репетирует и исполняет роли для кино и театра</li>
<li>Выразительно читает тексты художественных произведений</li>
<li>Выступает в шоу-программах, участвует в номинациях и актерских конкурсах</li>
</ul>";"<ul>
<li>Умение перевоплощаться, погружаться в образ;</li>
<li>Харизматичность;</li>
<li>Феноменальная память;</li>
<li>Развитый эмоциональный интеллект, эмпатия.</li>
</ul>";"<ul>
<li>Ивана Чаббак ""Мастерство актера: Техника Чаббак""*Эта книга представляет уникальную технику Иваны Чаббак - знаменитого преподавателя актерского мастерства. Школа Чаббак открыла путь к вершинам Голливуда таким актерам как Бред Питт, Хэлли Берри, Йен Соммерхолдер, Шарлиз Терон, Лив Тайлер, Джим Керри и многим другим актерам. Подробное изложение техники Чаббак в этом издании даст вам возможность побывать в классе легендарного преподавателя и приобщиться к секретам мощного исполнения роли.</li>
<li>Юрий Никулин ""Почти серьезно""*Это чуть ироничный рассказ Никулина о себе и серьезный о других: родных и близких, знаменитых и малоизвестных, но невероятно интересных людях цирка и кино. Книга полна юмора. В ней нет неправды. В ней не приукрашивается жизнь актера и клоуна и жизнь вообще. Начав чтение, вы почувствуете, будто Юрий Владимирович сидит рядом с вами и рассказывает свою историю именно вам.</li>
</ul>";"<ul>
<li>Звёздная карта (2014)*https://youtu.be/x4VrPDjjfJM</li>
</ul>";"<p>52.05.01 Актерское искусство</p>
<p>52.03.06 Драматургия</p>
<p>53.05.04 Музыкально-театральное искусство</p>";;Подвижный график;"Разъезды по городу; Командировки";;;
2655;Культура и искусство;Режиссер;"<ul>
<li>Режиссер-постановщик</li>
<li>Режиссер монтажа</li>
<li>Звукорежиссер</li>
<li>Режиссер по свету</li>
<li>Режиссер детских театрализованных представлений</li>
</ul>";"Искусство; Люди";"Творить; Контролировать";30000;170000;"<ul>
<li>Руководит съемочным процессом и репетициями, а также художественно-артистическим персоналом;</li>
<li>Отвечает за сохранение замысла проекта на всем его протяжении;</li>
<li>Участвует в подборе актеров и всей съемочной команды.</li>
</ul>";"<ul>
<li>Стремление собрать из частей целое;</li>
<li>Креативность, чуткость к окружающему миру, внимание к деталям;</li>
<li>Лидерские качества, умение общаться и договариваться;</li>
<li>Высокая стрессоустойчивость и эмоциональная выносливость.</li>
</ul>";"<ul>
<li>Сидни Люмет ""Как делается кино""*В книге режиссер Сидни Люмет честно и откровенно рассказывает о том, как поставить фильм. Живой учебник режиссуры, в котором нет ни грамма нравоучительности. ""Я не верю в ожидания ""великого"" материала, способного породить ""шедевр"", - пишет автор. - Важно, чтобы исходный материал касался меня лично, в той или иной степени"".</li>
<li>Роберт Родригес ""Кино без бюджета""*Практическое руководство по съемке малобюджетного кино от известного американского режиссера Роберта Родригеса, создателя фильмов ""Отчаянный"", ""От заката до рассвета"", ""Однажды в Мексике"", ""Планета страха"" и др. В детстве Родригес начинал как режиссер-любитель, снимая первые фильмы на 8-миллиметровую камеру и используя братьев и сестер в качестве актеров. Постепенно увлечение превратилось в профессию.</li>
</ul>";"<ul>
<li>Хичкок (2012)*https://youtu.be/mI2OhDSW-yU</li>
<li>Спасти мистера Бэнкса (2011)*https://youtu.be/Nlsq9Iq_gLk</li>
</ul>";"<p>51.03.05 Режиссура театрализованных представлений и праздников</p>
<p>51.05.01 Звукорежиссура культурно-массовых представлений и концертных программ</p>
<p>52.05.02 Режиссура театра</p>
<p>53.05.03 Музыкальная звукорежиссура</p>
<p>55.05.01 Режиссура кино и телевидения</p>
<p>55.05.02 Звукорежиссура аудиовизуальных искусств</p>";;Подвижный график;"Разъезды по городу; Командировки";;;
