Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2020 году;2020 очная Прох.балл Бюджет 1 волна;2020 очная Прох.балл Бюджет 2 волна;2020 очная Прох.балл Платно ;2020 очная Число мест Бюджет ;2020 очная Число мест Платно ;2020 очная Конкурс Бюджет ;2020 очная Конкурс Платно ;2020 очная Срок  ;2020 очная Стоимость  ;2020 очно-заочная Прох.балл Бюджет ;2020 очно-заочная Число мест Бюджет ;2020 очно-заочная Число мест Платно ;2020 очно-заочная Срок  ;2020 очно-заочная Стоимость  ;2020 заочная Прох.балл Бюджет ;2020 заочная Число мест Бюджет ;2020 заочная Число мест Платно ;2020 заочная Срок  ;2020 заочная Стоимость  ;Адрес обучения по данному профилю;Содержание программы;Профессии;Min балл  Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ
г. Ухта;0777;УГТУ;Управление в технических системах;27.03.01 Стандартизация и метрология;211747;Метрология, стандартизация и сертификация;Технологический факультет;Да;;;;;Есть;;;4;175000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;1;2;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0777;УГТУ;Природные ресурсы и технологии;35.03.02 Технология лесозаготовительных и деревоперерабатывающих производств;211825;"Лесопромышленный бизнес
";Технологический факультет;Да;;;;;Есть;;;4;175000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0777;УГТУ;Природные ресурсы и технологии;21.03.01 Нефтегазовое дело;211582;Эксплуатация и обслуживание технологических объектов нефтегазового производства;Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0777;УГТУ;Природные ресурсы и технологии;21.03.01 Нефтегазовое дело;211583;"Сооружение и ремонт объектов систем трубопроводного транспорта
";Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0777;УГТУ;Природные ресурсы и технологии;21.03.01 Нефтегазовое дело;211584;Эксплуатация и обслуживание объектов добычи нефти;Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Природные ресурсы и технологии;21.03.01 Нефтегазовое дело;211585;Эксплуатация и обслуживание объектов транспорта и хранения нефти, газа и продуктов переработки ;Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Природные ресурсы и технологии;21.03.01 Нефтегазовое дело;211586;Бурение нефтяных и газовых скважин;Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Природные ресурсы и технологии;21.03.01 Нефтегазовое дело;211587;Эксплуатация и обслуживание объектов нефтегазового комплекса арктического шельфа;Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Природные ресурсы и технологии;21.03.01 Нефтегазовое дело;211588;Эксплуатация и обслуживание объектов добычи газа, газоконденсата и подземных хранилищ ;Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Природные ресурсы и технологии;21.03.02 Землеустройство и кадастры;211610;Геодезическое обеспечение землеустройства и кадастров;Нефтегазовый факультет;Да;;;;;Есть;;;4;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;1;2;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Природные ресурсы и технологии;21.05.02 Прикладная геология;211625;Геология нефти и газа;Нефтегазовый факультет;Да;;;;;Есть;;;5;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Природные ресурсы и технологии;21.05.03 Технология геологической разведки;211627;Геофизические методы исследования скважин;Нефтегазовый факультет;Да;;;;;Есть;;;5;207000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Первомайская, д. 13;;;39;40;;39;;;;;;44;;2;1;0;1;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;Экономика и управление;38.03.01 Экономика;212085;Экономика и финансы;Факультет экономики, управления и информационных технологий;Да;;;;;Есть;;;4;154000;;;Есть;4,5;70000;;;Есть;5;60000;г. Ухта, ул. Сенюкова, д. 13;;;39;40;45;;;;;;;44;;1;2;1;0;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0779;УГТУ;СМИ и издательское дело;42.03.01 Реклама и связи с общественностью;212391;Реклама и связи с общественностью;Факультет экономики, управления и информационных технологий;Да;;;;;Есть;;;4;154000;Набора не было;0;0;;;;;Есть;5;60000;г. Ухта, ул. Сенюкова, д. 13;;;;40;45;;;35;;;;44;;0;2;1;0;0;1;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0780;УГТУ;История и археология;46.03.02 Документоведение и архивоведение;212909;Документационное обеспечение управления;Факультет экономики, управления и информационных технологий;Да;;;;;Есть;;;4;154000;Набора не было;0;0;;;;;Есть;5;60000;г. Ухта, ул. Сенюкова, д. 13;;;;40;45;;;35;;;;44;;0;2;1;0;0;1;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Ухта;0780;УГТУ;Компьютерные и информационные науки;09.03.02 Информационные системы и технологии;211253;Информационные системы и технологии;Факультет экономики, управления и информационных технологий;Да;;;;;Есть;;;4;175000;Набора не было;0;0;;;;;Есть;5;60000;г. Ухта, ул. Сенюкова, д. 13;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;10;2;0;
г. Ухта;0783;УГТУ;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;211227;Автоматизированные системы обработки информации и управления;Факультет экономики, управления и информационных технологий;Да;;;;;Есть;;;4;175000;Набора не было;0;0;;;Набора не было;0;0;;;г. Ухта, ул. Сенюкова, д. 13;;;39;40;;39;;;;;;44;;1;1;0;2;0;0;0;0;0;2;0;;;;;;;;10;2;10;2;0;
г. Ухта;0783;УГТУ;Экономика и управление;38.03.02 Менеджмент;212173;Управление экономической деятельностью предприятий нефтяной и газовой промышленности;Факультет экономики, управления и информационных технологий;Да;;;;;Есть;;;4;154000;;;Есть;4,5;70000;;;0;;;г. Ухта, ул. Сенюкова, д. 13;;;39;40;45;;;;;;;44;;1;2;1;0;0;0;0;0;0;1;0;;;;;;;;10;2;10;2;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Физическая культура;49.03.01 Физическая культура;212918;Спортивная тренировка;Факультет физической культуры и спорта;Да;212;195;147;18;Есть;;;4;140000;Набора не было;0;0;;;Набора не было;0;Есть;4,5;40000;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;;;39;;;;;;;0;1;0;0;2;0;0;0;0;0;0;Профессиональное испытание;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Педагогические науки;44.03.01 Педагогическое образование;212523;Физическая культура;Факультет физической культуры и спорта;Да;203;189;134;16;Есть;;;4;94000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;45;;;;;;;;;0;1;2;0;0;0;0;0;0;0;0;Профессиональное испытание;;;;;;;5;1;5;1;0;
