id вуза;Федеральный округ;Регион;Аббревиатура;Название ВУЗа;Тип вуза;Направление вуза;Официальный сайт;Адрес;Телефон приемной комиссии;Сведения о лицензии;О вузе в цифрах;Форма обучения;Международные программы;Возможность получения двойного диплома;Наличие военной кафедры;Отсрочка от армии;Внеучебная деятельность;Общежитие;Стоимость общежития по бюджету (мес);Стоимость общежития по договору (мес);Государственная академическая стипендия (мес.);Стипендия за особые успехи в учебе;Стипендия по социальным льготам;Известные выпускники;;;;;
0774;Северо-Западный ФО;г. Санкт-Петербург;ВШМ СПбГУ;Санкт-Петербургский государственный университет;Государственный;Экономические науки;www.gsom.spbu.ru;г. Санкт-Петербург, пер. Волховский, д. 3;+7 (812) 363-60-00;№2063 от 07.04.16;"<ul>
<li>7,5 тыс. выпускников</li>
<li>входит в число 50 лучших бизнес-школ Европы</li>
<li>8 кафедр</li>
<li>3 международные аккредитации</li>
<li>1200 студентов</li>
<li>200 корпоративных партнеров</li> <li>78 международных академических партнеров</li> <li>6 международных научно-исследовательских центров</li> </ul>";Студенты могут сами скорректировать программу, выбрав желаемые дисциплины. Во время обучения есть возможность стажироваться в зарубежных вузах. В вузе действуют несколько научных школ, которые открывают широкие возможности для исследовательской деятельности.;Есть;Нет;Есть;Есть;"В вузе существуют студенческие отряды. Каждый может попробовать себя в спортивном клубе. Действует студенческий совет, который участвует в принятии решений в интересах студенчества. В университете реализуется экологическая политика ""Green Campus"", к которой может присоединиться любой желающий. Учащиеся улучшают экологические условия СПбГУ, пропагандирует экологически-здоровый образ жизни, а также занимаются исследованиями.";Есть;261 — 310 ₽;822 — 1 030 ₽;1 691 ₽;до 12 000 ₽;2 537 ₽;;;;;;
0012;Северо-Западный ФО;г. Санкт-Петербург;СПбГУ;Санкт-Петербургский государственный университет;Государственный;Широкий профиль;www.spbu.ru;г. Санкт-Петербург, Университетская наб., д. 7-9;+7 (812) 363-66-36;№2063 от 07.04.16;"<ul>
<li>30 000 обучающихся</li>
<li>47 научных центров, институтов и лабораторий</li>
<li>350 вузов-партнеров по программам обмена</li>
<li>62 млн полнотекстовых источников</li>
<li>950 работодателей-партнеров</li>
</ul>";Студенты могут сами скорректировать программу, выбрав желаемые дисциплины. Во время обучения есть возможность стажироваться в зарубежных вузах. В вузе действуют несколько научных школ, которые открывают широкие возможности для исследовательской деятельности.;Есть;Нет;Есть;Есть;"В вузе существуют студенческие отряды. Каждый может попробовать себя в спортивном клубе. Действует студенческий совет, который участвует в принятии решений в интересах студенчества. В университете реализуется экологическая политика ""Green Campus"", к которой может присоединиться любой желающий. Учащиеся улучшают экологические условия СПбГУ, пропагандирует экологически-здоровый образ жизни, а также занимаются исследованиями.";Есть;21 — 70 ₽;3 120 — 3 750 ₽;4 375 — 6 987 ₽;до 12 000 ₽;от 1 908 ₽;"<ul>
<li>Попов Владимир Александрович*Известный этнограф</li>
<li>Клепикова Елена Константиновна*Русско-американская писательница</li>
</ul>";;1;6;0;0
