Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2020 году;2020 очная Прох.балл Бюджет 1 волна;2020 очная Прох.балл Бюджет 2 волна;2020 очная Прох.балл Платно ;2020 очная Число мест Бюджет;2020 очная Число мест Платно;2020 очная Конкурс Бюджет ;2020 очная Конкурс Платно ;2020 очная Срок;2020 очная Стоимость;2020 очно-заочная Прох.балл Бюджет ;2020 очно-заочная Число мест Бюджет;2020 очно-заочная Число мест Платно;2020 очно-заочная Срок;2020 очно-заочная Стоимость;2020 заочная Прох.балл Бюджет ;2020 заочная Число мест Бюджет;2020 заочная Число мест Платно;2020 заочная Срок;2020 заочная Стоимость;2019 очная Прох.балл Бюджет 1 волна;2019 очная Прох.балл Бюджет 2 волна;2019 очная Прох.балл Платно;2019 очная Число мест Бюджет;2019 очная Число мест Платно;2019 очная Конкурс Бюджет;2019 очная Конкурс Платно;2019 очная Срок;2019 очная Стоимость;2019 очно-заочная Прох.балл Бюджет;2019 очно-заочная Число мест Бюджет;2019 очно-заочная Число мест Платно;2019 очно-заочная Срок;2019 очно-заочная Стоимость;2019 заочная Прох.балл Бюджет;2019 заочная Число мест Бюджет;2019 заочная Число мест Платно;2019 заочная Срок;2019 заочная Стоимость;2018 очная Прох.балл Бюджет 1 волна;2018 очная Прох.балл Бюджет 2 волна;2018 очная Прох.балл Платно;2018 очная Число мест Бюджет;2018 очная Число мест Платно;2018 очная Конкурс Бюджет;2018 очная Конкурс Платно;2018 очная Срок;2018 очная Стоимость;2018 очно-заочная Прох.балл Бюджет;2018 очно-заочная Число мест Бюджет;2018 очно-заочная Число мест Платно;2018 очно-заочная Срок;2018 очно-заочная Стоимость;2018 заочная Прох.балл Бюджет;2018 заочная Число мест Бюджет;2018 заочная Число мест Платно;2018 заочная Срок;2018 заочная Стоимость;2017 очная Прох.балл Бюджет 1 волна;2017 очная Прох.балл Бюджет 2 волна;2017 очная Прох.балл Платно;2017 очная Число мест Бюджет;2017 очная Число мест Платно;2017 очная Конкурс Бюджет;2017 очная Конкурс Платно;2017 очная Срок;2017 очная Стоимость;2017 очно-заочная Прох.балл Бюджет;2017 очно-заочная Число мест Бюджет;2017 очно-заочная Число мест Платно;2017 очно-заочная Срок;2017 очно-заочная Стоимость;2017 заочная Прох.балл Бюджет;2017 заочная Число мест Бюджет;2017 заочная Число мест Платно;2017 заочная Срок;2017 заочная Стоимость;2016 очная Прох.балл Бюджет 1 волна;2016 очная Прох.балл Бюджет 2 волна;2016 очная Прох.балл Платно;2016 очная Число мест Бюджет;2016 очная Число мест Платно;2016 очная Конкурс Бюджет;2016 очная Конкурс Платно;2016 очная Срок;2016 очная Стоимость;2016 очно-заочная Прох.балл Бюджет;2016 очно-заочная Число мест Бюджет;2016 очно-заочная Число мест Платно;2016 очно-заочная Срок;2016 очно-заочная Стоимость;2016 заочная Прох.балл Бюджет;2016 заочная Число мест Бюджет;2016 заочная Число мест Платно;2016 заочная Срок;2016 заочная Стоимость;Содержание программы;Профессии;Адрес обучения по данному профилю;Min балл Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ
г. Санкт-Петербург;0012;СПбГУ;Философия, этика и религиоведение;47.03.03 Религиоведение;200537;Религиоведение;Институт философии;Да;;;;10;5;;;4;;;0;0;;;;0;0;;;263;259;248;10;2;6;7,5;4;208 700;Набора не было;0;0;;;Набора не было;0;0;;;##;##;;10;5;##;##;4;200 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Основные навыки, получаемые в рамках этой учебной программы: проведение научных исследований в области религиоведения (истории и теории религии, религиозно-философских проблем бытия современного человека). А также студенты учатся консультированию органов государственной власти по вопросам взаимодействия с религиозными объединениями и общественными организациями.;Историк религии , координатор международных и межконфессиональных программ, музеолог, религиовед, специалист паломнической службы, теолог;г. Санкт-Петербург, Петергоф, Университетский просп., д. 30;;55;55;;;55;;;;;;0;1;1;0;0;2;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Искусство и культура;51.03.04 Музеология и охрана объектов культурного и природного наследия;200512;Музеология и охрана объектов культурного и природного наследия;Институт истории;Да;;;;12;5;;;4;;;0;0;;;;0;0;;;275;272;211;12;5;8,83;6,6;4;208 700;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;12;13;##;##;4;200 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В рамках программы студенты учатся проводить научные исследования по основному направлению музея, подготавливать презентации и научные статьи. Также, учащиеся практикуются в проведении экскурсий, подготовку проектов музейных экспозиций. Преимущество является возможность освоить иностранные языки на уровне свободного разговора.;"Музеевед; антиквар; экскурсовод; музейный работник; музеолог";г. Санкт-Петербург, Петергоф, Университетский просп., д. 30;;55;55;;;55;;;;;;0;1;1;0;0;2;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Искусство и культура;51.03.04 Музеология и охрана объектов культурного и природного наследия;200448;Атрибуция и экспертиза художественных ценностей;Институт истории;Нет;;;;0;0;;;;;;0;0;;;;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;;;;12;13;;;4;200 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В рамках программы студенты учатся проводить научные исследования по основному направлению музея, подготавливать презентации и научные статьи. Также, учащиеся практикуются в проведении экскурсий, подготовку проектов музейных экспозиций. Преимущество является возможность освоить иностранные языки на уровне свободного разговора.;"Музеевед; антиквар; экскурсовод; музейный работник; музеолог";г. Санкт-Петербург, Петергоф, Университетский просп., д. 30;;55;55;;;55;;;;;;0;1;1;0;0;2;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Искусство и культура;51.03.04 Музеология и охрана объектов культурного и природного наследия;200447;Атрибуция и экспертиза культурных объектов;Институт философии;Нет;;;;0;0;;;;;;0;0;;;;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;;;;12;13;;;4;200 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В рамках программы студенты учатся проводить научные исследования по основному направлению музея, определять статус объектов культурного и природного наследия, разрабатывать проекты сохранения и освоения культурного наследия. Также, учащиеся практикуются в проведении экскурсий, подготовку проектов музейных экспозиций. Преимущество является возможность освоить иностранные языки на уровне свободного разговора.;"Музеевед; антиквар; экскурсовод; музейный работник; музеолог";г. Санкт-Петербург, Петергоф, Университетский просп., д. 30;;55;55;;;55;;;;;;0;1;1;0;0;2;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Социология и социальная работа;39.03.02 Социальная работа;200543;Социальная работа;Факультет социологии;Да;;;;15;5;;;4;;;0;0;;;;0;0;;;261;257;212;15;5;8,26;5,54;4;198 500;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;15;5;##;##;4;190 300;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку высококвалифицированных профессионалов в сфере работы с людьми, социальной политики, правового консультирования и менеджмента в социальной сфере. Студенты овладевают навыками конфликтологии, принятия грамотного управленческого решения. Во время учебы есть возможность стажироваться в ведущих компаниях.;"Инспектор по делам несовершеннолетних; менеджер по корпоративной культуре и внутренним коммуникациям; практический психолог; педагог-организатор";г. Санкт-Петербург, ул. Смольного, д. 1/4;;55;55;;;55;;;;;;0;1;1;0;0;2;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Политика и дипломатия;41.03.04 Политология;200522;Политология;Факультет политологии;Да;;;;40;50;;;4;;;0;0;;;;0;0;;;281;276;215;40;35;14,25;40;4;213 300;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;40;35;##;##;4;204 500;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку квалифицированных политологов. Студенты учатся анализировать исторические и политические процессы общества, выстраивать грамотную коммуникацию, а также использовать современные стратегии при решении вопросов в области политики. Преимущество является практикоориентированность программы.;"Лоббист; конфликтолог; политтехнолог; политик; специалист по международным отношениям; правозащитник";г. Санкт-Петербург, ул. Смольного, д.1-3;;55;55;;;55;;;;;;0;1;1;0;0;2;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Юриспруденция;40.03.01 Юриспруденция;200574;Юриспруденция;Юридический факультет;Да;;;;60;110;;;4;;;0;0;;;;0;0;;;295;293;211;60;100;15,9;2,79;4;333 900;248;10;1;5;452 300;Набора не было;0;0;;;##;##;##;56;##;##;##;4;320 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку квалифицированных специалистов в области Юриспруденция. В рамках учебы студенты развивают получают актуальные знания современного права, учатся применять новейшие методики и подходы в своей сфере, а также осваивают английский язык. Помимо основного обучения, у каждого учащегося есть возможность пройти стажировку за границей;"Юрист; адвокат; судья; корпоративный юрист;";г. Санкт-Петербург, 21-я линия В.О., д. 2;;55;55;;;55;;;;;;0;1;2;0;0;1;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;СМИ и издательское дело;42.03.01 Реклама и связи с общественностью;200536;Реклама и связи с общественностью;Институт «Высшая школа журналистики и массовых коммуникаций»;Да;;;;20;30;;;4;;;0;0;;;;0;0;;;286;283;208;20;25;25,35;5,68;4;304 600;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;20;30;##;##;4;292 000;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку специалистов в сфере рекламы и связях с общественностью. Во время учебы студенты получают знания этики, маркетинга, а также закономерностей общества. Есть возможность заниматься практическим развитие в вузе, используя существующие площадки.;"GR-менеджер; PR-менеджер; рекламный агент; бренд-менеджер; имиджмейкер; контент-менеджер; маркетолог-аналитик";г. Санкт-Петербург, Галерная ул., д. 58-60;;55;55;;;55;;;;;;0;1;2;0;0;1;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Психологические науки;37.03.02 Конфликтология;200490;Конфликтология;Институт философии;Да;;;;10;5;;;4;;;0;0;;;;0;0;;;278;277;205;40;25;20,2;12;4;213 300;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;10;10;##;##;4;204 500;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку студентов в области конфликтологии. Особое внимание уделяется различным аспектам психологии. Студенты учатся анализировать разные формы и причины поведения людей, строить правильную коммуникацию, а также овладевают методами продаж и убеждения.;"Конфликтолог; HR-специалист; медиатор; психолог; практический психолог";г. Санкт-Петербург, Менделеевская линия д. 5;;55;55;;;55;;;;;;0;1;2;0;0;1;0;0;0;0;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Философия, этика и религиоведение;47.03.01 Философия;200558;Философия;Институт философии;Да;;;;25;15;;;4;;;0;0;;;;0;0;;;266;262;203;25;11;5,96;5;4;208 700;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;25;10;##;##;4;200 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа нацелена на подготовку квалифицированных специалистов в области философии. Студенты знакомятся с основными дисциплинами философии. У студентов формируется целостное представления о процессах, происходящих в современном мире, появляется навык системного анализа событий во всех сферах общественной жизни.;"Антрополог; hr-специалист; pr-менеджер; культуролог; философ";г. Санкт-Петербург, Петергоф, Университетский просп., д. 30;;55;55;;;55;;;;;;0;1;2;0;0;1;0;0;0;0;0;;;;;;;;3;1;6;0;0;
